gameId,market,source_or_reason,clv
2250120,fg_under,line_moved,U9.5->9.5
2250110,fg_ml_home,proxy_snapshot,0
2250110,fg_ml_away,proxy_snapshot,0
2250110,fg_over,line_moved,O10.0->10
2250110,fg_under,line_moved,U10.0->10
2250109,fg_ml_home,proxy_snapshot,0
2250109,fg_ml_away,proxy_snapshot,0
2250109,fg_over,line_moved,O9.5->9.5
2250109,fg_under,line_moved,U9.5->9.5
2250108,fg_ml_home,proxy_snapshot,0
2250108,fg_ml_away,proxy_snapshot,0
2250108,fg_over,line_moved,O8.5->8.5
2250108,fg_under,line_moved,U8.5->8.5
2250107,fg_ml_home,proxy_snapshot,0
2250107,fg_ml_away,proxy_snapshot,0
2250107,fg_over,line_moved,O7.5->7.5
2250107,fg_under,line_moved,U7.5->7.5
2252394,fg_ml_home,proxy_snapshot,0
2252394,fg_ml_away,proxy_snapshot,0
2252394,fg_over,line_moved,O9.5->9.5
2252394,fg_under,line_moved,U9.5->9.5
2250125,fg_ml_home,proxy_snapshot,0
2250125,fg_ml_away,proxy_snapshot,0
2250125,fg_over,line_moved,O7.5->7.5
2250125,fg_under,line_moved,U7.5->7.5
2250126,fg_ml_home,proxy_snapshot,0
2250126,fg_ml_away,proxy_snapshot,0
2250126,fg_over,line_moved,O8.0->8
2250126,fg_under,line_moved,U8.0->8
2250127,fg_ml_home,proxy_snapshot,0
2250127,fg_ml_away,proxy_snapshot,0
2250127,fg_over,line_moved,O8.0->8
2250127,fg_under,line_moved,U8.0->8
2250128,fg_ml_home,proxy_snapshot,0
2250128,fg_ml_away,proxy_snapshot,0
2250128,fg_over,line_moved,O7.5->7.5
2250128,fg_under,line_moved,U7.5->7.5
2250129,fg_ml_home,proxy_snapshot,0
2250129,fg_ml_away,proxy_snapshot,0
2250129,fg_over,line_moved,O7.5->7.5
2250129,fg_under,line_moved,U7.5->7.5
2250130,fg_ml_home,proxy_snapshot,0
2250130,fg_ml_away,proxy_snapshot,0
2250130,fg_over,line_moved,O11.0->11
2250130,fg_under,line_moved,U11.0->11
2250131,fg_ml_home,proxy_snapshot,0
2250131,fg_ml_away,proxy_snapshot,0
2250131,fg_over,line_moved,O10.0->10
2250131,fg_under,line_moved,U10.0->10
2250132,fg_ml_home,proxy_snapshot,0
2250132,fg_ml_away,proxy_snapshot,0
2250132,fg_over,line_moved,O7.0->7
2250132,fg_under,line_moved,U7.0->7
2250133,fg_ml_home,proxy_snapshot,0
2250133,fg_ml_away,proxy_snapshot,0
2250133,fg_over,line_moved,O9.0->9
2250133,fg_under,line_moved,U9.0->9
2250134,fg_ml_home,proxy_snapshot,0
2250134,fg_ml_away,proxy_snapshot,0
2250134,fg_over,line_moved,O8.0->8
2250134,fg_under,line_moved,U8.0->8
2250117,fg_ml_home,proxy_snapshot,-0.0267
2250117,fg_ml_away,proxy_snapshot,0.0267
2250117,fg_over,line_moved,O7.5->8
2250117,fg_under,line_moved,U7.5->8
2250121,fg_ml_home,proxy_snapshot,-0.0091
2250121,fg_ml_away,proxy_snapshot,0.0091
2250121,fg_over,line_moved,O9.0->9
2250121,fg_under,line_moved,U9.0->9
2250122,fg_ml_home,proxy_snapshot,0
2250122,fg_ml_away,proxy_snapshot,0
2250122,fg_over,line_moved,O8.0->8
2250122,fg_under,line_moved,U8.0->8
2250123,fg_ml_home,proxy_snapshot,0
2250123,fg_ml_away,proxy_snapshot,0
2250123,fg_over,line_moved,O9.0->9
2250123,fg_under,line_moved,U9.0->9
2250124,fg_ml_home,proxy_snapshot,-0.0127
2250124,fg_ml_away,proxy_snapshot,0.0127
2250124,fg_over,line_moved,O8.5->8.5
2250124,fg_under,line_moved,U8.5->8.5
2252411,fg_ml_home,proxy_snapshot,0
2252411,fg_ml_away,proxy_snapshot,0
2252411,fg_over,line_moved,O9.0->9
2252411,fg_under,line_moved,U9.0->9
2250146,fg_ml_home,proxy_snapshot,0
2250146,fg_ml_away,proxy_snapshot,0
2250146,fg_over,line_moved,O7.5->7.5
2250146,fg_under,line_moved,U7.5->7.5
2250142,fg_ml_home,proxy_snapshot,0
2250142,fg_ml_away,proxy_snapshot,0
2250142,fg_over,line_moved,O7.0->7
2250142,fg_under,line_moved,U7.0->7
2250143,fg_ml_home,proxy_snapshot,0
2250143,fg_ml_away,proxy_snapshot,0
2250143,fg_over,line_moved,O8.5->8.5
2250143,fg_under,line_moved,U8.5->8.5
2250144,fg_ml_home,proxy_snapshot,0
2250144,fg_ml_away,proxy_snapshot,0
2250144,fg_over,line_moved,O8.0->8
2250144,fg_under,line_moved,U8.0->8
2250145,fg_ml_home,proxy_snapshot,0
2250145,fg_ml_away,proxy_snapshot,0
2250145,fg_over,line_moved,O10.5->10.5
2250145,fg_under,line_moved,U10.5->10.5
2250141,fg_ml_home,proxy_snapshot,0
2250141,fg_ml_away,proxy_snapshot,0
2250141,fg_over,line_moved,O9.0->9
2250141,fg_under,line_moved,U9.0->9
2250147,fg_ml_home,proxy_snapshot,0
2250147,fg_ml_away,proxy_snapshot,0
2250147,fg_over,line_moved,O8.0->8
2250147,fg_under,line_moved,U8.0->8
2250135,fg_ml_home,proxy_snapshot,0
2250135,fg_ml_away,proxy_snapshot,0
2250135,fg_over,line_moved,O8.0->8
2250135,fg_under,line_moved,U8.0->8
2250136,fg_ml_home,proxy_snapshot,0
2250136,fg_ml_away,proxy_snapshot,0
2250136,fg_over,line_moved,O7.0->7
2250136,fg_under,line_moved,U7.0->7
2250137,fg_ml_home,proxy_snapshot,0
2250137,fg_ml_away,proxy_snapshot,0
2250137,fg_over,line_moved,O8.5->8.5
2250137,fg_under,line_moved,U8.5->8.5
2250138,fg_ml_home,proxy_snapshot,0
2250138,fg_ml_away,proxy_snapshot,0
2250138,fg_over,line_moved,O8.5->8.5
2250138,fg_under,line_moved,U8.5->8.5
2250139,fg_ml_home,proxy_snapshot,0
2250139,fg_ml_away,proxy_snapshot,0
2250139,fg_over,line_moved,O8.0->8
2250139,fg_under,line_moved,U8.0->8
2250140,fg_ml_home,proxy_snapshot,0
2250140,fg_ml_away,proxy_snapshot,0
2250140,fg_over,line_moved,O8.0->8
2250140,fg_under,line_moved,U8.0->8
2250154,fg_ml_home,proxy_snapshot,0
2250154,fg_ml_away,proxy_snapshot,0
2250154,fg_over,line_moved,O8.5->8.5
2250154,fg_under,line_moved,U8.5->8.5
2250161,fg_ml_home,proxy_snapshot,0
2250161,fg_ml_away,proxy_snapshot,0
2250161,fg_over,line_moved,O7.5->7.5
