table,column,rows,nulls,pct
games,f5AwayRunLineOdds,1580,719,45.51
games,f5HomeRunLineOdds,1580,718,45.44
games,f5Total,1580,718,45.44
games,f5OverOdds,1580,718,45.44
games,f5UnderOdds,1580,718,45.44
games,f5AwayML,1580,718,45.44
games,f5HomeML,1580,718,45.44
games,modelF5AwayScore,1580,19,1.2
games,modelF5HomeScore,1580,19,1.2
games,modelF5Total,1580,19,1.2
games,modelF5OverRate,1580,19,1.2
games,modelF5UnderRate,1580,19,1.2
games,modelF5AwayWinPct,1580,19,1.2
games,modelF5HomeWinPct,1580,19,1.2
games,modelF5AwayML,1580,19,1.2
games,modelF5HomeML,1580,19,1.2
games,modelF5AwayRLCoverPct,1580,19,1.2
games,modelF5HomeRLCoverPct,1580,19,1.2
games,modelF5OverOdds,1580,19,1.2
games,modelF5UnderOdds,1580,19,1.2
games,actualF5AwayScore,1580,79,5
games,actualF5HomeScore,1580,79,5
games,f5MlResult,1580,1451,91.84
games,f5RlResult,1580,1451,91.84
games,f5TotalResult,1580,1451,91.84
games,f5MlCorrect,1580,1476,93.42
games,f5RlCorrect,1580,1451,91.84
games,f5TotalCorrect,1580,1451,91.84
games,f5BacktestRunAt,1580,1443,91.33
games,nrfiOverOdds,1580,719,45.51
games,yrfiUnderOdds,1580,718,45.44
games,modelPNrfi,1580,19,1.2
games,modelNrfiOdds,1580,19,1.2
games,modelYrfiOdds,1580,19,1.2
games,nrfiActualResult,1580,79,5
games,nrfiBacktestResult,1580,1564,98.99
games,nrfiCorrect,1580,1566,99.11
games,nrfiBacktestRunAt,1580,1443,91.33
games,modelAwayHrPct,1580,916,57.97
games,modelHomeHrPct,1580,916,57.97
games,modelBothHrPct,1580,916,57.97
games,modelAwayExpHr,1580,916,57.97
games,modelHomeExpHr,1580,916,57.97
games,oddsSource,1580,222,14.05
games,modelInningHomeExp,1580,19,1.2
games,modelInningAwayExp,1580,19,1.2
games,modelInningTotalExp,1580,19,1.2
games,modelInningPHomeScores,1580,19,1.2
games,modelInningPAwayScores,1580,19,1.2
games,modelInningPNeitherScores,1580,19,1.2
games,nrfiCombinedSignal,1580,418,26.46
games,nrfiFilterPass,1580,418,26.46
games,modelF5AwayRlOdds,1580,19,1.2
games,modelF5HomeRlOdds,1580,19,1.2
games,modelF5PushPct,1580,19,1.2
games,modelF5PushRaw,1580,19,1.2
games,actualFgTotal,1580,587,37.15
games,actualF5Total,1580,587,37.15
games,actualNrfiBinary,1580,587,37.15
games,brierFgTotal,1580,628,39.75
games,brierF5Total,1580,1159,73.35
games,brierNrfi,1580,590,37.34
games,brierFgMl,1580,590,37.34
games,brierF5Ml,1580,746,47.22
games,outcomeIngestedAt,1580,587,37.15
games,modelProjTotal,1580,610,38.61
games,modelWeatherAdj,1580,610,38.61
games,rescheduledFrom,1580,1574,99.62
