gamesId,anGameId,gameDate,matchup,seq,completed,schedStatus,fg_proj,fg_ml_book,fg_total_book,fg_rl_book,fg_actual,fg_graded_games,f5_proj,f5_total_proj,f5_book,f5_actual,f5_graded_games,nrfi_proj,nrfi_book,nrfi_actual,nrfi_graded_games,teamhr_proj,k_props,k_proj,k_line,k_actual,k_graded,hr_props,hr_proj,hr_actual,hr_graded,bt_rows,bt_settled,bt_no_action,bt_quarantined,bt_with_clv,bt_with_closing,outcomeIngested
2250112,286124,2026-04-04,SD@BOS,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2,18,18,18,18,15,0,1,14,0,0,0
2250120,286132,2026-04-04,SEA@LAA,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2,18,18,18,18,15,0,1,14,0,0,0
2250107,286118,2026-04-04,STL@DET,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,2,2,2,2,2,18,18,18,18,15,0,1,14,0,0,0
2250116,286127,2026-04-04,TB@MIN,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,18,18,18,18,15,0,1,14,0,0,0
2250108,286119,2026-04-04,TOR@CWS,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,17,17,17,17,15,0,1,14,0,0,0
2252411,286187,2026-04-05,ATL@ARI,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,18,18,18,18,15,0,1,14,0,0,0
2250122,286177,2026-04-05,BAL@PIT,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,19,19,19,19,15,0,1,14,0,0,0
2250125,286178,2026-04-05,CHC@CLE,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,24,24,24,24,15,0,1,14,0,0,0
2250117,288013,2026-04-05,CHC@CLE,2,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,2,2,2,2,2,0,0,0,0,14,0,0,14,0,0,0
2250129,286182,2026-04-05,CIN@TEX,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,2,2,2,2,1,18,18,18,18,15,0,1,14,0,0,0
