id,gamePk,date,month,away,home,venue,game_no,dh,start_et,local_hour,day_night,fav,fav_src,away_ml,home_ml,book_total,line_src,bucket,hand,away_sp,home_sp,actual_away,actual_home,actual_total,away_won,quarantined,live_proj_pure,live_proj_rule,live_proj_src,live_p_away,p1_proj,p1_p_away,p2_proj,p2_p_away,se_live_pure,se_live_rule,se_p1,se_p2,brier_live,brier_p1,brier_p2,hit_live,hit_p1,hit_p2
2250041,822837,2026-03-29,2026-03,ATH,TOR,Rogers Centre,1,N,12:37 PM ET,12.62,day,home_fav,games,129,-156,9.0,games,8-9,R-L,Luis Morales,Eric Lauer,2.0,5.0,7.0,0.0,1,,9.0,modelTotal(book),0.47619999999999996,8.38,0.4208,8.38,0.4208,,2.0,1.38,1.38,0.22677,0.17707,0.17707,1.0,1.0,1.0
2250042,824538,2026-03-29,2026-03,BOS,CIN,Great American Ball Park,1,N,12:40 PM ET,12.67,day,away_fav,games,-130,108,8.5,games,8-9,L-R,Connelly Early,Rhett Lowder,2.0,3.0,5.0,0.0,1,,8.5,modelTotal(book),0.5165,8.4,0.4623,8.4,0.4623,,3.5,3.4,3.4,0.26677,0.21372,0.21372,0.0,1.0,1.0
2250043,823647,2026-03-29,2026-03,PIT,NYM,Citi Field,1,N,12:40 PM ET,12.67,day,home_fav,games,153,-186,7.5,games,<8,R-R,Carmen Mlodzinski,Nolan McLean,4.0,3.0,7.0,1.0,1,,7.5,modelTotal(book),0.381,8.32,0.3845,8.32,0.3845,,0.5,1.32,1.32,0.38316,0.37884,0.37884,0.0,0.0,0.0
2250044,823891,2026-03-29,2026-03,COL,MIA,loanDepot park,1,N,12:40 PM ET,12.67,day,home_fav,games,159,-194,8.0,games,8-9,L-R,Jose Quintana,Max Meyer,3.0,4.0,7.0,0.0,1,,8.0,modelTotal(book),0.48700000000000004,8.96,0.5127,8.96,0.5127,,1.0,1.96,1.96,0.23717,0.26286,0.26286,1.0,0.0,0.0
2250045,824215,2026-03-29,2026-03,LAA,HOU,Daikin Park,1,N,1:10 PM ET,12.17,day,home_fav,games,144,-175,9.0,games,8-9,R-R,Jack Kochanowicz,Tatsuya Imai,7.0,9.0,16.0,0.0,1,,9.0,modelTotal(book),0.3675,9.7,0.3382,9.7,0.3382,,-7.0,-6.3,-6.3,0.13506,0.11438,0.11438,1.0,1.0,1.0
2250046,823810,2026-03-29,2026-03,CWS,MIL,American Family Field,1,N,1:10 PM ET,12.17,day,home_fav,games,141,-171,7.5,games,<8,L-R,Anthony Kay,Brandon Sproat,7.0,9.0,16.0,0.0,1,,7.5,modelTotal(book),0.37770000000000004,8.0,0.4174,8.0,0.4174,,-8.5,-8.0,-8.0,0.14266,0.17422,0.17422,1.0,1.0,1.0
2250047,823079,2026-03-29,2026-03,TB,STL,Busch Stadium,1,N,1:15 PM ET,12.25,day,away_fav,games,-118,-102,7.5,games,<8,L-R,Steven Matz,Dustin May,11.0,7.0,18.0,1.0,1,,7.5,modelTotal(book),0.536,8.1,0.4889,8.1,0.4889,,-10.5,-9.9,-9.9,0.2153,0.26122,0.26122,1.0,0.0,0.0
2250048,824700,2026-03-29,2026-03,WSH,CHC,Wrigley Field,1,N,1:20 PM ET,12.33,day,home_fav,games,197,-243,9.0,games,8-9,R-L,Jake Irvin,Shota Imanaga,6.0,3.0,9.0,1.0,1,,9.0,modelTotal(book),0.36060000000000003,8.79,0.3665,8.79,0.3665,,0.0,-0.21,-0.21,0.40883,0.40132,0.40132,0.0,0.0,0.0
2250049,823160,2026-03-29,2026-03,CLE,SEA,T-Mobile Park,1,N,6:20 PM ET,15.33,day,home_fav,games,119,-143,7.5,games,<8,R-R,Slade Cecconi,Emerson Hancock,0.0,8.0,8.0,0.0,1,,7.5,modelTotal(book),0.4551,7.7,0.4511,7.7,0.4511,,-0.5,-0.3,-0.3,0.20712,0.20349,0.20349,1.0,1.0,1.0
2250050,824135,2026-03-30,2026-03,MIN,KC,Kauffman Stadium,1,N,3:10 PM ET,14.17,day,home_fav,games,139,-168,10.0,games,>9,R-L,Simeon Woods Richardson,Kris Bubic,1.0,3.0,4.0,0.0,1,,10.0,modelTotal(book),0.47490000000000004,8.43,0.3944,8.43,0.3944,,6.0,4.43,4.43,0.22553,0.15555,0.15555,1.0,1.0,1.0
2250051,824863,2026-03-30,2026-03,TEX,BAL,Oriole Park at Camden Yards,1,N,5:35 PM ET,17.58,night,home_fav,games,109,-131,9.0,games,8-9,R-R,Jack Leiter,Chris Bassitt,5.0,2.0,7.0,1.0,1,,9.0,modelTotal(book),0.4694,9.16,0.4394,9.16,0.4394,,2.0,2.16,2.16,0.28154,0.31427,0.31427,0.0,0.0,0.0
2250052,824539,2026-03-30,2026-03,PIT,CIN,Great American Ball Park,1,N,5:40 PM ET,17.67,night,home_fav,games,113,-136,8.5,games,8-9,R-R,Braxton Ashcraft,Chase Burns,0.0,2.0,2.0,0.0,1,,8.5,modelTotal(book),0.4551,8.51,0.4674,8.51,0.4674,,6.5,6.51,6.51,0.20712,0.21846,0.21846,1.0,1.0,1.0
2250053,823484,2026-03-30,2026-03,WSH,PHI,Citizens Bank Park,1,N,5:40 PM ET,17.67,night,home_fav,games,146,-177,9.0,games,8-9,L-R,Foster Griffin,Taijuan Walker,13.0,2.0,15.0,1.0,1,,9.0,modelTotal(book),0.45289999999999997,9.44,0.4342,9.44,0.4342,,-6.0,-5.56,-5.56,0.29932,0.32013,0.32013,0.0,0.0,0.0
2250054,823890,2026-03-30,2026-03,CWS,MIA,loanDepot park,1,N,5:40 PM ET,17.67,night,home_fav,games,123,-149,8.0,games,8-9,R-R,Davis Martin,Chris Paddack,9.0,4.0,13.0,1.0,1,,8.0,modelTotal(book),0.4636,8.38,0.4464,8.38,0.4464,,-5.0,-4.62,-4.62,0.28772,0.30647,0.30647,0.0,0.0,0.0
2250055,822834,2026-03-30,2026-03,COL,TOR,Rogers Centre,1,N,6:07 PM ET,18.12,night,home_fav,games,234,-293,8.0,games,8-9,UNK,Tomoyuki Sugano,Cody Ponce,14.0,5.0,19.0,1.0,1,,8.0,modelTotal(book),0.38130000000000003,9.66,0.4319,9.66,0.4319,,-11.0,-9.34,-9.34,0.38279,0.32274,0.32274,0.0,0.0,0.0
2250056,824943,2026-03-30,2026-03,ATH,ATL,Truist Park,1,N,6:15 PM ET,18.25,night,home_fav,games,113,-136,9.0,games,8-9,L-R,Jacob Lopez,Bryce Elder,0.0,4.0,4.0,0.0,1,,9.0,modelTotal(book),0.4717,8.83,0.4479,8.83,0.4479,,5.0,4.83,4.83,0.2225,0.20061,0.20061,1.0,1.0,1.0
2250057,824702,2026-03-30,2026-03,LAA,CHC,Wrigley Field,1,N,6:40 PM ET,17.67,night,home_fav,games,159,-194,10.0,games,>9,UNK,Ryan Johnson,Edward Cabrera,2.0,7.0,9.0,0.0,1,,10.0,modelTotal(book),0.4347,10.07,0.3151,10.07,0.3151,,1.0,1.07,1.07,0.18896,0.09929,0.09929,1.0,1.0,1.0
2250058,823809,2026-03-30,2026-03,TB,MIL,American Family Field,1,N,6:40 PM ET,17.67,night,home_fav,games,135,-163,8.0,games,8-9,R-L,Nick Martinez,Kyle Harrison,3.0,2.0,5.0,1.0,1,,8.0,modelTotal(book),0.4385,8.35,0.4171,8.35,0.4171,,3.0,3.35,3.35,0.31528,0.33977,0.33977,0.0,0.0,0.0
2250059,823080,2026-03-30,2026-03,NYM,STL,Busch Stadium,1,N,6:45 PM ET,17.75,night,away_fav,games,-156,129,9.0,games,8-9,R-R,Clay Holmes,Kyle Leahy,4.0,2.0,6.0,1.0,1,,9.0,modelTotal(book),0.4797,7.92,0.4213,7.92,0.4213,,3.0,1.92,1.92,0.27071,0.33489,0.33489,0.0,0.0,0.0
2250060,824214,2026-03-30,2026-03,BOS,HOU,Daikin Park,1,N,7:10 PM ET,18.17,night,away_fav,games,-131,109,8.5,games,8-9,L-R,Ranger Suarez,Lance McCullers Jr.,1.0,8.0,9.0,0.0,1,,8.5,modelTotal(book),0.5379,9.38,0.5186,9.38,0.5186,,-0.5,0.38,0.38,0.28934,0.26895,0.26895,0.0,0.0,0.0
2250061,823320,2026-03-30,2026-03,SF,SD,Petco Park,1,N,8:40 PM ET,17.67,night,home_fav,games,-102,-118,8.5,games,8-9,R-R,Landen Roupp,Walker Buehler,3.0,2.0,5.0,1.0,1,,8.5,modelTotal(book),0.44079999999999997,8.71,0.4557,8.71,0.4557,,3.5,3.71,3.71,0.3127,0.29626,0.29626,0.0,0.0,0.0
2250062,823159,2026-03-30,2026-03,NYY,SEA,T-Mobile Park,1,N,8:40 PM ET,17.67,night,away_fav,games,-117,-103,7.5,games,<8,L-R,Ryan Weathers,Luis Castillo,1.0,2.0,3.0,0.0,1,,7.5,modelTotal(book),0.4299,7.36,0.4426,7.36,0.4426,,4.5,4.36,4.36,0.18481,0.19589,0.19589,1.0,1.0,1.0
2250063,823972,2026-03-30,2026-03,CLE,LAD,Dodger Stadium,1,N,9:10 PM ET,18.17,night,home_fav,games,163,-199,9.0,games,8-9,L-R,Parker Messick,Roki Sasaki,4.0,2.0,6.0,1.0,1,,9.0,modelTotal(book),0.4142,8.97,0.4327,8.97,0.4327,,3.0,2.97,2.97,0.34316,0.32183,0.32183,0.0,0.0,0.0
2250064,824861,2026-03-31,2026-03,TEX,BAL,Oriole Park at Camden Yards,1,N,5:35 PM ET,17.58,night,away_fav,games,-126,104,8.5,games,8-9,R-R,Jacob deGrom,Zach Eflin,8.0,5.0,13.0,1.0,1,,8.5,modelTotal(book),0.5918,9.29,0.5219,9.29,0.5219,,-4.5,-3.71,-3.71,0.16663,0.22858,0.22858,1.0,1.0,1.0
2250065,824537,2026-03-31,2026-03,PIT,CIN,Great American Ball Park,1,N,5:40 PM ET,17.67,night,away_fav,games,-118,-101,9.0,games,8-9,R-L,Bubba Chandler,Brandon Williamson,8.0,3.0,11.0,1.0,1,,9.0,modelTotal(book),0.4917,7.95,0.4763,7.95,0.4763,,-2.0,-3.05,-3.05,0.25837,0.27426,0.27426,0.0,0.0,0.0
