gameId,gameDate,month,mlbGamePk,awayTeam,homeTeam,venue,parkFactor3yr,roof,doubleHeader,gameNumber,startET,localHour,dayNight,aScore,hScore,totalActual,homeWin,lineOu,lineSrc,p1_pAwayMl,p1_projTotal,p1_pOver,p1_projAway,p1_projHome,p1_pAwayRl,p2_pAwayMl,p2_projTotal,p2_pOver,envMultUsed,TfgUsed,totalSdUsed
2250066,2026-03-31,2026-03,823485,WSH,PHI,Citizens Bank Park,1.0484931745187165,open,N,1,17.667,17.667,night,2,3,5.0,1,9.5,games.bookTotal,0.40990,9.370,0.42940,4.320,5.050,0.55920,0.40990,9.370,0.42940,1.0,1.0,4.5
2250067,2026-03-31,2026-03,823888,CWS,MIA,loanDepot park,0.9585538609518026,roof,N,1,17.667,17.667,night,2,9,11.0,1,8.5,games.bookTotal,0.38520,8.330,0.43220,3.700,4.630,0.54830,0.38520,8.330,0.43220,1.0,1.0,4.5
2250068,2026-03-31,2026-03,822836,COL,TOR,Rogers Centre,1.0028292007511364,roof,N,1,18.117,18.117,night,1,5,6.0,1,8.0,games.bookTotal,0.44910,9.900,0.59910,4.820,5.080,0.59240,0.44910,9.900,0.59910,1.0,1.0,4.5
2250069,2026-03-31,2026-03,824942,ATH,ATL,Truist Park,0.9774370157800405,open,N,1,18.25,18.25,night,5,2,7.0,0,9.0,games.bookTotal,0.35960,8.690,0.41900,3.720,4.980,0.51970,0.35960,8.690,0.41900,1.0,1.0,4.5
2250070,2026-03-31,2026-03,824699,LAA,CHC,Wrigley Field,1.005140346320558,open,N,1,18.667,17.667,night,2,0,2.0,0,7.0,games.bookTotal,0.39430,8.390,0.57030,3.770,4.610,0.55600,0.39430,8.390,0.57030,1.0,1.0,4.5
2250071,2026-03-31,2026-03,823807,TB,MIL,American Family Field,0.9522189984168762,roof,N,1,18.667,17.667,night,2,6,8.0,1,7.5,games.bookTotal,0.39860,7.810,0.46480,3.530,4.280,0.30280,0.39860,7.810,0.46480,1.0,1.0,4.5
2250072,2026-03-31,2026-03,823077,NYM,STL,Busch Stadium,0.9270781176097251,open,N,1,18.75,17.75,night,0,3,3.0,1,8.5,games.bookTotal,0.47220,8.470,0.44400,4.250,4.210,0.37650,0.47220,8.470,0.44400,1.0,1.0,4.5
2250073,2026-03-31,2026-03,824212,BOS,HOU,Daikin Park,0.9911732357433639,roof,N,1,20.167,19.167,night,2,9,11.0,1,7.5,games.bookTotal,0.38650,8.270,0.50630,3.670,4.600,0.54960,0.38650,8.270,0.50630,1.0,1.0,4.5
2250074,2026-03-31,2026-03,823322,SF,SD,Petco Park,0.8944051349677884,open,N,1,21.667,18.667,night,9,3,12.0,0,7.5,games.bookTotal,0.52470,8.630,0.53740,4.630,4.000,0.42650,0.52470,8.630,0.53740,1.0,1.0,4.5
2250075,2026-03-31,2026-03,823158,NYY,SEA,T-Mobile Park,0.8411265978531404,roof,N,1,21.667,18.667,night,5,0,5.0,0,7.0,games.bookTotal,0.46220,6.880,0.42990,3.410,3.480,0.34720,0.46220,6.880,0.42990,1.0,1.0,4.5
2250076,2026-03-31,2026-03,823969,CLE,LAD,Dodger Stadium,1.0009612737608329,open,N,1,22.167,19.167,night,1,4,5.0,1,8.0,games.bookTotal,0.36810,8.610,0.49620,3.730,4.880,0.52840,0.36810,8.610,0.49620,1.0,1.0,4.5
2252346,2026-03-31,2026-03,825107,DET,ARI,Chase Field,1.0804533346607728,roof,N,1,21.667,18.667,night,5,7,12.0,1,9.5,games.bookTotal,0.46280,9.710,0.45660,4.800,4.910,0.37800,0.46280,9.710,0.45660,1.0,1.0,4.5
2250077,2026-04-01,2026-04,824940,ATH,ATL,Truist Park,0.9774370157800405,open,N,1,12.25,12.25,day,1,5,6.0,1,7.5,games.bookTotal,0.36230,8.480,0.52500,3.630,4.850,0.52440,0.36230,8.480,0.52500,1.0,1.0,4.5
2250078,2026-04-01,2026-04,824860,TEX,BAL,Oriole Park at Camden Yards,1.0451331923662392,open,N,1,12.583,12.583,day,3,8,11.0,1,8.5,games.bookTotal,0.44070,7.710,0.37740,3.710,4.010,0.33920,0.44070,7.710,0.37740,1.0,1.0,4.5
2250079,2026-04-01,2026-04,824536,PIT,CIN,Great American Ball Park,0.9902854490964874,open,N,1,12.667,12.667,day,8,3,11.0,0,7.5,games.bookTotal,0.46450,7.590,0.44340,3.770,3.820,0.35900,0.46450,7.590,0.44340,1.0,1.0,4.5
2250080,2026-04-01,2026-04,823483,WSH,PHI,Citizens Bank Park,1.0484931745187165,open,N,1,13.083,13.083,day,5,6,11.0,1,8.0,games.bookTotal,0.35020,9.390,0.55920,3.960,5.430,0.50170,0.35020,9.390,0.55920,1.0,1.0,4.5
2250081,2026-04-01,2026-04,822835,COL,TOR,Rogers Centre,1.0028292007511364,roof,N,1,13.117,13.117,day,2,1,3.0,0,7.5,games.bookTotal,0.41310,8.820,0.55420,4.080,4.740,0.56920,0.41310,8.820,0.55420,1.0,1.0,4.5
2250082,2026-04-01,2026-04,823889,CWS,MIA,loanDepot park,0.9585538609518026,roof,N,1,13.167,13.167,day,0,10,10.0,1,7.5,games.bookTotal,0.45520,8.030,0.48600,3.930,4.100,0.61690,0.45520,8.030,0.48600,1.0,1.0,4.5
2250083,2026-04-01,2026-04,823078,NYM,STL,Busch Stadium,0.9270781176097251,open,N,1,13.25,12.25,day,1,2,3.0,1,7.5,games.bookTotal,0.48130,7.780,0.46220,3.950,3.830,0.37630,0.48130,7.780,0.46220,1.0,1.0,4.5
2250084,2026-04-01,2026-04,823806,TB,MIL,American Family Field,0.9522189984168762,roof,N,1,13.667,12.667,day,2,8,10.0,1,7.0,games.bookTotal,0.46260,8.000,0.53730,3.960,4.040,0.62410,0.46260,8.000,0.53730,1.0,1.0,4.5
2250085,2026-04-01,2026-04,824211,BOS,HOU,Daikin Park,0.9911732357433639,roof,N,1,14.167,13.167,day,4,6,10.0,1,7.0,games.bookTotal,0.47190,8.180,0.55290,4.100,4.080,0.37280,0.47190,8.180,0.55290,1.0,1.0,4.5
