gameId,gameDate,month,pAwayMl,pOver,pAwayRl,projAwayScore,projHomeScore,projTotal,additivity_abs_diff,core_violations,supp_violations
2250130,2026-04-05,2026-04,0.44180,0.53160,0.37380,5.870,6.360,12.240,0.010000,,
2250131,2026-04-05,2026-04,0.35880,0.59830,0.29930,5.240,6.950,12.200,0.010000,,
2250132,2026-04-05,2026-04,0.47420,0.58580,0.62990,4.310,4.260,8.570,0.000000,,
2250133,2026-04-05,2026-04,0.47040,0.40470,0.37550,4.270,4.260,8.530,0.000000,,
2250134,2026-04-05,2026-04,0.47260,0.45360,0.63190,4.070,4.050,8.120,0.000000,,
2250135,2026-04-06,2026-04,0.46400,0.49810,0.36990,4.280,4.340,8.620,0.000000,,
2250136,2026-04-06,2026-04,0.44910,0.51940,0.34740,3.790,4.020,7.810,0.000000,,
2250137,2026-04-06,2026-04,0.31020,0.52350,0.46200,3.730,5.700,9.430,0.000000,,
2250138,2026-04-06,2026-04,0.43180,0.40560,0.59570,3.810,4.220,8.030,0.000000,,
2250139,2026-04-06,2026-04,0.40530,0.60540,0.33020,4.580,5.400,9.990,0.010000,,
2250140,2026-04-06,2026-04,0.48070,0.41090,0.37430,3.880,3.770,7.660,0.010000,,
2250141,2026-04-06,2026-04,0.50800,0.45050,0.41510,4.750,4.310,9.060,0.000000,,
2250142,2026-04-06,2026-04,0.39640,0.59380,0.31020,3.920,4.760,8.680,0.000000,,
2250143,2026-04-06,2026-04,0.41560,0.46900,0.32850,4.060,4.680,8.740,0.000000,,
2250144,2026-04-06,2026-04,0.37180,0.40760,0.27890,3.300,4.320,7.620,0.000000,,
2250145,2026-04-06,2026-04,0.36860,0.64140,0.31310,5.870,7.590,13.460,0.000000,,
2250146,2026-04-06,2026-04,0.48210,0.34820,0.36050,3.360,3.250,6.620,0.010000,,
2250147,2026-04-06,2026-04,0.42500,0.47470,0.33280,3.930,4.430,8.360,0.000000,,
2250148,2026-04-07,2026-04,0.42720,0.54130,0.31910,3.290,3.690,6.980,0.000000,,
2250149,2026-04-07,2026-04,0.41790,0.61080,0.58830,3.600,4.130,7.730,0.000000,,
2250150,2026-04-07,2026-04,0.42950,0.43280,0.33640,3.950,4.390,8.340,0.000000,,
2250151,2026-04-07,2026-04,0.32040,0.39650,0.50400,2.810,4.300,7.110,0.000000,,
2250152,2026-04-07,2026-04,0.47890,0.69980,0.39890,5.130,5.020,10.150,0.000000,,
2250153,2026-04-07,2026-04,0.42390,0.55810,0.60270,3.360,3.790,7.150,0.000000,,
2250154,2026-04-07,2026-04,0.26990,0.35980,0.44480,2.720,4.830,7.550,0.000000,,
