gameId,gameDate,matchup,mlbGamePk,actualAway,actualHome,schedScore,linescoreScore,bookTotal,awayRunLine,modelAwayWinPct,modelOverRate,modelAwayScore,modelHomeScore,stored_fgMlResult,derived_fgMlResult,fgMl_status,stored_fgMlCorrect,derived_fgMlCorrect,stored_fgRlResult,derived_fgRlResult,fgRl_status,stored_fgRlCorrect,derived_fgRlCorrect,stored_fgTotalResult,derived_fgTotalResult,fgTotal_status,stored_fgTotalCorrect,derived_fgTotalCorrect,stored_brierFgMl,derived_brierFgMl_away,derived_brierFgMl_home,brierFgMl_status,stored_brierFgTotal,derived_brierFgTotal,brierFgTotal_status
2250057,2026-03-30,LAA@CHC 2026-03-30,824702,2,7,2-7,2-7,10,1.5,43.47,34.72,3.99,4.78,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,UNDER,UNDER,match,1,1,0.188964,0.188964,0.188964,match-away-base,0.120548,0.120548,match
2250058,2026-03-30,TB@MIL 2026-03-30,823809,3,2,3-2,3-2,8,1.5,43.85,57.7,4.42,5.19,LOSS,LOSS,match,0,0,WIN,WIN,match,1,1,UNDER,UNDER,match,0,0,0.315282,0.315282,0.315282,match-away-base,0.332929,0.332929,match
2250059,2026-03-30,NYM@STL 2026-03-30,823080,4,2,4-2,4-2,9,-1.5,47.97,41.27,4.2,4.42,LOSS,LOSS,match,0,0,LOSS,LOSS,match,0,0,UNDER,UNDER,match,1,1,0.270712,0.270712,0.270712,match-away-base,0.170321,0.170321,match
2250060,2026-03-30,BOS@HOU 2026-03-30,824214,1,8,1-8,1-8,8.5,-1.5,53.79,56.34,5.2,4.72,LOSS,LOSS,match,0,0,WIN,WIN,match,1,1,OVER,OVER,match,1,1,0.289336,0.289336,0.289336,match-away-base,0.19062,0.19062,match
2250061,2026-03-30,SF@SD 2026-03-30,823320,3,2,3-2,3-2,8.5,-1.5,44.08,47.39,4.06,4.74,LOSS,LOSS,match,0,0,WIN,WIN,match,1,1,UNDER,UNDER,match,1,1,0.312705,0.312705,0.312705,match-away-base,0.224581,0.224581,match
2250062,2026-03-30,NYY@SEA 2026-03-30,823159,1,2,1-2,1-2,7.5,-1.5,42.99,49.73,3.7,4.47,WIN,WIN,match,1,1,WIN,WIN,match,1,1,UNDER,UNDER,match,1,1,0.184814,0.184814,0.184814,match-away-base,0.247307,0.247307,match
2250063,2026-03-30,CLE@LAD 2026-03-30,823972,4,2,4-2,4-2,9,1.5,41.42,40.9,3.8,4.78,LOSS,LOSS,match,0,0,WIN,WIN,match,1,1,UNDER,UNDER,match,1,1,0.343162,0.343162,0.343162,match-away-base,0.167281,0.167281,match
2252334,2026-03-30,DET@ARI 2026-03-30,825108,6,9,6-9,6-9,9,-1.5,43.05,51.73,4.51,5.4,WIN,WIN,match,1,1,WIN,WIN,match,1,1,OVER,OVER,match,1,1,0.18533,0.18533,0.18533,match-away-base,0.232999,0.232999,match
2250064,2026-03-31,TEX@BAL 2026-03-31,824861,8,5,8-5,8-5,8.5,-1.5,59.18,53.66,5.36,4.22,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,OVER,OVER,match,1,1,0.166627,0.166627,0.166627,match-away-base,0.21474,0.21474,match
2250065,2026-03-31,PIT@CIN 2026-03-31,824537,8,3,8-3,8-3,9,-1.5,49.17,35.61,3.94,4.03,LOSS,LOSS,match,0,0,LOSS,LOSS,match,0,0,OVER,OVER,match,0,0,0.258369,0.258369,0.258369,match-away-base,0.414607,0.414607,match
