game_id,mlb_game_pk,date,month,teams,game_no,series,sub_market,pick,prob,line,proj_value,actual,correct,brier,logloss,signed_error,abs_error,fav,day_night,allstar,leakage_quarantine,closing_source,score_source,note
2250014,823081,2026-03-26,2026-03,TB@STL,1,p1,RL,HOME,0.36340,-1.5,-0.04,HOME,1,0.132060,0.451614,1.96,1.96,away_fav,day,0,0,proxy,games,
2250014,823081,2026-03-26,2026-03,TB@STL,1,p1,TOTAL,UNDER,0.42480,8,7.81,OVER,0,0.330855,0.856137,-8.19,8.19,away_fav,day,0,0,proxy,games,
2250014,823081,2026-03-26,2026-03,TB@STL,1,p2,ML,HOME,0.46670,-131,,HOME,1,0.217809,0.628671,,,away_fav,day,0,0,proxy,games,
2250014,823081,2026-03-26,2026-03,TB@STL,1,p2,RL,HOME,0.36340,-1.5,-0.04,HOME,1,0.132060,0.451614,1.96,1.96,away_fav,day,0,0,proxy,games,
2250014,823081,2026-03-26,2026-03,TB@STL,1,p2,TOTAL,UNDER,0.42480,8,7.81,OVER,0,0.330855,0.856137,-8.19,8.19,away_fav,day,0,0,proxy,games,
2250015,823486,2026-03-26,2026-03,TEX@PHI,1,live,ML,HOME,0.44690,+144,,HOME,1,0.199720,0.592216,,,home_fav,day,0,1,proxy,games,
2250015,823486,2026-03-26,2026-03,TEX@PHI,1,live,RL,AWAY,,+1.5,-0.59,HOME,0,,,1.41,1.41,home_fav,day,0,1,proxy,games,
2250015,823486,2026-03-26,2026-03,TEX@PHI,1,live,TOTAL,UNDER,0.46210,8,8.00,PUSH,,,,0.00,0.00,home_fav,day,0,1,proxy,games,push
2250015,823486,2026-03-26,2026-03,TEX@PHI,1,p1,ML,HOME,0.46780,144,,HOME,1,0.218837,0.630736,,,home_fav,day,0,0,proxy,games,
2250015,823486,2026-03-26,2026-03,TEX@PHI,1,p1,RL,AWAY,0.62820,+1.5,-0.02,HOME,0,0.394635,0.989399,1.98,1.98,home_fav,day,0,0,proxy,games,
2250015,823486,2026-03-26,2026-03,TEX@PHI,1,p1,TOTAL,UNDER,0.45710,8,8.16,PUSH,,,,0.16,0.16,home_fav,day,0,0,proxy,games,push
2250015,823486,2026-03-26,2026-03,TEX@PHI,1,p2,ML,HOME,0.46780,144,,HOME,1,0.218837,0.630736,,,home_fav,day,0,0,proxy,games,
2250015,823486,2026-03-26,2026-03,TEX@PHI,1,p2,RL,AWAY,0.62820,+1.5,-0.02,HOME,0,0.394635,0.989399,1.98,1.98,home_fav,day,0,0,proxy,games,
2250015,823486,2026-03-26,2026-03,TEX@PHI,1,p2,TOTAL,UNDER,0.45710,8,8.16,PUSH,,,,0.16,0.16,home_fav,day,0,0,proxy,games,push
2250016,823163,2026-03-26,2026-03,CLE@SEA,1,live,ML,HOME,0.42230,+149,,AWAY,0,0.333737,0.862039,,,home_fav,night,0,1,proxy,games,
2250016,823163,2026-03-26,2026-03,CLE@SEA,1,live,RL,AWAY,,+1.5,-0.80,AWAY,1,,,-2.80,2.80,home_fav,night,0,1,proxy,games,
2250016,823163,2026-03-26,2026-03,CLE@SEA,1,live,TOTAL,OVER,0.56650,6.5,6.50,OVER,1,0.187922,0.568278,-3.50,3.50,home_fav,night,0,1,proxy,games,
2250016,823163,2026-03-26,2026-03,CLE@SEA,1,p1,ML,HOME,0.40080,149,,AWAY,0,0.359041,0.914293,,,home_fav,night,0,0,proxy,games,
2250016,823163,2026-03-26,2026-03,CLE@SEA,1,p1,RL,AWAY,0.57830,+1.5,-0.68,AWAY,1,0.177831,0.547663,-2.68,2.68,home_fav,night,0,0,proxy,games,
2250016,823163,2026-03-26,2026-03,CLE@SEA,1,p1,TOTAL,OVER,0.52610,6.5,7.30,OVER,1,0.224581,0.642264,-2.70,2.70,home_fav,night,0,0,proxy,games,
2250016,823163,2026-03-26,2026-03,CLE@SEA,1,p2,ML,HOME,0.40080,149,,AWAY,0,0.359041,0.914293,,,home_fav,night,0,0,proxy,games,
2250016,823163,2026-03-26,2026-03,CLE@SEA,1,p2,RL,AWAY,0.57830,+1.5,-0.68,AWAY,1,0.177831,0.547663,-2.68,2.68,home_fav,night,0,0,proxy,games,
2250016,823163,2026-03-26,2026-03,CLE@SEA,1,p2,TOTAL,OVER,0.52610,6.5,7.30,OVER,1,0.224581,0.642264,-2.70,2.70,home_fav,night,0,0,proxy,games,
2252284,823974,2026-03-26,2026-03,ARI@LAD,1,live,ML,HOME,0.36890,+229,,HOME,1,0.136087,0.460291,,,home_fav,night,0,1,proxy,games,
2252284,823974,2026-03-26,2026-03,ARI@LAD,1,live,RL,AWAY,,+1.5,-1.42,HOME,0,,,4.58,4.58,home_fav,night,0,1,proxy,games,
2252284,823974,2026-03-26,2026-03,ARI@LAD,1,live,TOTAL,UNDER,0.35020,9,9.00,OVER,0,0.422240,1.049251,-1.00,1.00,home_fav,night,0,1,proxy,games,
2252284,823974,2026-03-26,2026-03,ARI@LAD,1,p1,ML,HOME,0.34080,229,,HOME,1,0.116145,0.416728,,,home_fav,night,0,0,proxy,games,
2252284,823974,2026-03-26,2026-03,ARI@LAD,1,p1,RL,AWAY,0.50240,+1.5,-1.45,HOME,0,0.252406,0.697959,4.55,4.55,home_fav,night,0,0,proxy,games,
2252284,823974,2026-03-26,2026-03,ARI@LAD,1,p1,TOTAL,UNDER,0.41130,9,8.61,OVER,0,0.346568,0.888432,-1.39,1.39,home_fav,night,0,0,proxy,games,
2252284,823974,2026-03-26,2026-03,ARI@LAD,1,p2,ML,HOME,0.34080,229,,HOME,1,0.116145,0.416728,,,home_fav,night,0,0,proxy,games,
2252284,823974,2026-03-26,2026-03,ARI@LAD,1,p2,RL,AWAY,0.50240,+1.5,-1.45,HOME,0,0.252406,0.697959,4.55,4.55,home_fav,night,0,0,proxy,games,
2252284,823974,2026-03-26,2026-03,ARI@LAD,1,p2,TOTAL,UNDER,0.41130,9,8.61,OVER,0,0.346568,0.888432,-1.39,1.39,home_fav,night,0,0,proxy,games,
2250017,823243,2026-03-27,2026-03,NYY@SF,1,live,ML,AWAY,0.53260,-136,,AWAY,1,0.218463,0.629985,,,away_fav,day,0,1,proxy,games,
2250017,823243,2026-03-27,2026-03,NYY@SF,1,live,RL,HOME,,-1.5,0.36,AWAY,0,,,-2.64,2.64,away_fav,day,0,1,proxy,games,
2250017,823243,2026-03-27,2026-03,NYY@SF,1,live,TOTAL,UNDER,0.40980,8.5,8.50,UNDER,1,0.167936,0.527294,5.50,5.50,away_fav,day,0,1,proxy,games,
2250017,823243,2026-03-27,2026-03,NYY@SF,1,p1,ML,HOME,0.43510,-136,,AWAY,0,0.319112,0.832179,,,away_fav,day,0,0,proxy,games,
2250017,823243,2026-03-27,2026-03,NYY@SF,1,p1,RL,HOME,0.33820,-1.5,-0.37,AWAY,0,0.437979,1.084118,-3.37,3.37,away_fav,day,0,0,proxy,games,
2250017,823243,2026-03-27,2026-03,NYY@SF,1,p1,TOTAL,UNDER,0.40710,8.5,8.05,UNDER,1,0.165730,0.522730,5.05,5.05,away_fav,day,0,0,proxy,games,
2250017,823243,2026-03-27,2026-03,NYY@SF,1,p2,ML,HOME,0.43510,-136,,AWAY,0,0.319112,0.832179,,,away_fav,day,0,0,proxy,games,
2250017,823243,2026-03-27,2026-03,NYY@SF,1,p2,RL,HOME,0.33820,-1.5,-0.37,AWAY,0,0.437979,1.084118,-3.37,3.37,away_fav,day,0,0,proxy,games,
2250017,823243,2026-03-27,2026-03,NYY@SF,1,p2,TOTAL,UNDER,0.40710,8.5,8.05,UNDER,1,0.165730,0.522730,5.05,5.05,away_fav,day,0,0,proxy,games,
2250018,822839,2026-03-27,2026-03,ATH@TOR,1,live,ML,HOME,0.42920,+149,,HOME,1,0.184213,0.560716,,,home_fav,night,0,1,proxy,games,
2250018,822839,2026-03-27,2026-03,ATH@TOR,1,live,RL,AWAY,,+1.5,-0.87,AWAY,1,,,0.13,0.13,home_fav,night,0,1,proxy,games,
2250018,822839,2026-03-27,2026-03,ATH@TOR,1,live,TOTAL,OVER,0.51760,8.5,8.50,UNDER,0,0.267910,0.728982,3.50,3.50,home_fav,night,0,1,proxy,games,
2250018,822839,2026-03-27,2026-03,ATH@TOR,1,p1,ML,HOME,0.38390,149,,HOME,1,0.147379,0.484346,,,home_fav,night,0,0,proxy,games,
2250018,822839,2026-03-27,2026-03,ATH@TOR,1,p1,RL,AWAY,0.54500,+1.5,-0.97,AWAY,1,0.207025,0.606969,0.03,0.03,home_fav,night,0,0,proxy,games,
2250018,822839,2026-03-27,2026-03,ATH@TOR,1,p1,TOTAL,UNDER,0.44990,8.5,8.53,UNDER,1,0.202410,0.597655,3.53,3.53,home_fav,night,0,0,proxy,games,
2250018,822839,2026-03-27,2026-03,ATH@TOR,1,p2,ML,HOME,0.38390,149,,HOME,1,0.147379,0.484346,,,home_fav,night,0,0,proxy,games,
2250018,822839,2026-03-27,2026-03,ATH@TOR,1,p2,RL,AWAY,0.54500,+1.5,-0.97,AWAY,1,0.207025,0.606969,0.03,0.03,home_fav,night,0,0,proxy,games,
2250018,822839,2026-03-27,2026-03,ATH@TOR,1,p2,TOTAL,UNDER,0.44990,8.5,8.53,UNDER,1,0.202410,0.597655,3.53,3.53,home_fav,night,0,0,proxy,games,
2250019,823893,2026-03-27,2026-03,COL@MIA,1,live,ML,HOME,0.43900,+163,,HOME,1,0.192721,0.578034,,,home_fav,night,0,1,proxy,games,
