id,gamePk,date,away,home,venue,day_night,fav,bucket,hand,book_total,away_sp,home_sp,actual_away,actual_home,actual_total,quarantined,live_proj_rule,live_proj_src,se_live_rule,p1_proj,se_p1,p2_proj,se_p2
2250873,824188,2026-06-03,PIT,HOU,Daikin Park,night,away_fav,<8,R-R,7.5,Paul Skenes,Spencer Arrighetti,9.0,11.0,20.0,0,7.7,modelProjTotal,-12.3,7.61,-12.39,7.728,-12.272
2251065,824990,2026-06-19,LAA,ATH,Sutter Health Park,night,home_fav,>9,R-L,10.0,Jose Soriano,Jeffrey Springs,11.0,12.0,23.0,0,10.77,modelProjTotal,-12.23,11.41,-11.59,11.587,-11.413
2250131,825025,2026-04-05,HOU,ATH,Sutter Health Park,day,away_fav,>9,R-L,10.0,Lance McCullers Jr.,Jacob Lopez,10.0,12.0,22.0,1,10.0,modelTotal(book),-12.0,12.2,-9.8,12.2,-9.8
2250542,824607,2026-05-08,SEA,CWS,Rate Field,night,away_fav,8-9,R-R,8.0,Emerson Hancock,Sean Burke,12.0,8.0,20.0,0,8.0,modelTotal(book),-12.0,7.58,-12.42,7.926,-12.074
2251275,822712,2026-07-06,HOU,WSH,Nationals Park,night,home_fav,>9,R-R,10.0,Mike Burrows,Miles Mikolas,11.0,12.0,23.0,0,11.2,modelProjTotal,-11.8,11.01,-11.99,11.298,-11.702
2251396,824086,2026-07-19,SD,KC,Kauffman Stadium,day,home_fav,>9,R-L,9.5,German Marquez,Noah Cameron,19.0,2.0,21.0,0,9.37,modelProjTotal,-11.63,9.78,-11.22,10.036,-10.964
2251053,824098,2026-06-18,STL,KC,Kauffman Stadium,night,home_fav,8-9,L-L,9.0,Michael McGreevy,Seth Lugo,6.0,14.0,20.0,0,8.47,modelProjTotal,-11.53,8.98,-11.02,9.119,-10.881
2250225,823481,2026-04-13,CHC,PHI,Citizens Bank Park,night,home_fav,8-9,R-L,8.5,Javier Assad,Cristopher Sánchez,7.0,13.0,20.0,1,8.5,modelTotal(book),-11.5,9.25,-10.75,9.25,-10.75
2250226,823563,2026-04-13,LAA,NYY,Yankee Stadium,night,home_fav,>9,L-R,9.5,Yusei Kikuchi,Will Warren,10.0,11.0,21.0,1,9.5,modelTotal(book),-11.5,9.84,-11.16,9.84,-11.16
2250228,823725,2026-04-13,BOS,MIN,Target Field,night,away_fav,<8,L-R,7.5,Garrett Crochet,Bailey Ober,6.0,13.0,19.0,1,7.5,modelTotal(book),-11.5,8.43,-10.57,8.43,-10.57
2250399,824122,2026-04-26,LAA,KC,Kauffman Stadium,night,home_fav,8-9,L-R,8.5,Reid Detmers,Seth Lugo,9.0,11.0,20.0,0,8.5,modelTotal(book),-11.5,7.53,-12.47,7.53,-12.47
