state,market,fold,n,logloss,logloss_raw,brier,auc,ece,cal_slope,cal_intercept,sharpness,head,mc_se_mean,crps,mae,bias,calib_shift,bias_post_shift,cov50,cov90,tail_pred,tail_obs,var_pred,var_obs
B,f5_ml,2024,2086,0.6782410435954154,0.6831005315434364,0.24259909436950253,0.599051639604635,0.01179156357092107,1.052672214377088,-0.027959694646970346,0.0794581116184969,platt_calib,0.0007726349386294948,,,,,,,,,,,
B,f5_ml,2025,2039,0.6786704075077239,0.6795287711723478,0.24288549562558523,0.5886364693028338,0.03122449953723947,1.0304952528987172,0.12804813425487704,0.07849671912344118,platt_calib,0.0007748732444481342,,,,,,,,,,,
B,f5_ml,2026,1345,0.6876961377533621,0.6940706791289395,0.2472237459279179,0.5564121466191791,0.024699475181043366,0.6268561765302555,0.023012126800126292,0.08068324627662163,platt_calib,0.0007754801124466708,,,,,,,,,,,
B,f5_rl,2021,2422,0.6767863085457552,0.678644174215993,0.24188206224914596,0.6041888117878865,0.0366840872101377,1.4678353640019044,0.020113830925150705,0.060390102240611365,platt_calib,0.0007643819489185123,,,,,,,,,,,
B,f5_rl,2022,2421,0.6697713538817511,0.669720712807614,0.23848738143545234,0.6108088093690988,0.027219161828226444,1.1371913318534401,-0.06635304028877959,0.08122961740792899,platt_calib,0.0007677418943729632,,,,,,,,,,,
B,f5_rl,2023,2427,0.6779746434474365,0.680256850306371,0.24247239287011027,0.5805074618665311,0.014034398237972735,0.8007593144009927,-0.007044728497938052,0.08750825068052424,platt_calib,0.0007697133308466141,,,,,,,,,,,
B,f5_rl,2024,2425,0.6770118706778447,0.6788621388629684,0.24199907704296428,0.5863302152830319,0.014842536079397915,1.091676230611275,0.025440861160707692,0.06636644588184452,platt_calib,0.000773021439000641,,,,,,,,,,,
B,f5_rl,2025,2425,0.6821468814622925,0.6855072848904347,0.24451630190090173,0.5654435091752243,0.02088969935231249,0.8930510885688062,0.03904048545061884,0.06746828652600097,platt_calib,0.0007752264574550187,,,,,,,,,,,
B,f5_rl,2026,1595,0.6834134391310765,0.688226425969372,0.24520235878487967,0.5526618935941681,0.01818425660213103,0.7948727814501032,-0.057435941490669884,0.06127893800228851,platt_calib,0.0007758162837800135,,,,,,,,,,,
B,f5_total,2021,2422,,,,,,,,,,,1.8066787404329114,2.5770050945499587,0.00013123327828259916,0.05876320312499978,0.05889443640328197,0.5565648224607762,0.8988439306358381,0.2852184194880264,0.2943848059454996,8.62835279586794,11.255215745291066
B,f5_total,2022,2421,,,,,,,,,,,1.7977406933747653,2.5859456860801324,0.14170468318876506,-0.0035219310487202087,0.13818275214004502,0.5258157786038827,0.8872366790582404,0.26231747748864104,0.27344072697232547,8.175897857451323,10.898074315661136
B,f5_total,2023,2427,,,,,,,,,,,1.9355516444380367,2.7447904190358465,-0.24152063164400484,-0.13164518917802573,-0.3731658208220308,0.5088586732591677,0.8747424804285125,0.2664680523279769,0.31479192418623814,8.257021844798462,12.291058445122507
B,f5_total,2024,2425,,,,,,,,,,,1.7774411514781823,2.542870981443299,-0.02613774103092777,0.2759131709929954,0.2497754299620676,0.5451546391752577,0.8907216494845361,0.25704592907216495,0.27628865979381445,8.087473069360328,10.401483515782761
B,f5_total,2025,2425,,,,,,,,,,,1.8078676380360434,2.5939550375257734,-0.005640414845360688,-0.0494625138144331,-0.05510292865979358,0.5303092783505154,0.8969072164948454,0.2671654977319588,0.2861855670103093,8.290140201986157,11.071337485386332
B,f5_total,2026,1595,,,,,,,,,,,1.7760755371725931,2.5332561705329155,-0.09562240877742939,0.029531799175257657,-0.06609060960217146,0.5454545454545454,0.8984326018808777,0.26079931786833854,0.2984326018808777,8.153213314126747,10.70695295840253
B,nrfi,2021,2422,0.6914858824155347,0.7347366510852679,0.24916495147018883,0.5375124789290215,0.017533572427396664,0.8019539375977208,-0.04696617524964963,0.040613323199893206,platt_calib,0.0007643819489185123,,,,,,,,,,,
B,nrfi,2022,2421,0.689578399438148,0.7311515937348253,0.24821614046243098,0.5506864480329112,0.027765486144339022,1.3343448817309806,0.04288353532400345,0.031066207566861393,platt_calib,0.0007677418943729632,,,,,,,,,,,
B,nrfi,2023,2427,0.6923575708924191,0.7280728052489762,0.24959913819973342,0.5332568215464436,0.015645423192016932,0.6609706773493336,-0.043889476651299664,0.043263393834450006,platt_calib,0.0007697133308466141,,,,,,,,,,,
B,nrfi,2024,2425,0.6912878849611085,0.7374672687387788,0.24907339068168674,0.5298542846914207,0.03284311886533922,0.9629548477084764,0.13059646894054966,0.03097503355375873,platt_calib,0.000773021439000641,,,,,,,,,,,
B,nrfi,2025,2425,0.6930991243032223,0.7184596343450894,0.24998239615113355,0.5396251749850013,0.03983183671736227,1.1742922843445052,-0.16949255949482123,0.03125763612157874,platt_calib,0.0007752264574550187,,,,,,,,,,,
B,nrfi,2026,1595,0.6880822347483879,0.7090701122809749,0.24748373659480252,0.555882195650601,0.00591081399587433,1.3745178633941912,-0.035907398083798885,0.03805531973283514,platt_calib,0.0007758162837800135,,,,,,,,,,,
C,fg_ml,2021,2422,0.674590682067267,0.6774228287404312,0.24088177573733127,0.6023827852700797,0.013085346683973851,1.2114663557216876,-0.07628454836981383,0.07373726532932294,platt_calib,0.0007644924492326668,,,,,,,,,,,
C,fg_ml,2022,2421,0.671911559538861,0.6728024613196397,0.23945898440860464,0.617014662434965,0.01996633935479646,1.1554447108870856,-0.033958799591823075,0.08486330385542185,platt_calib,0.0007672187173632195,,,,,,,,,,,
C,fg_ml,2023,2427,0.6796938036793668,0.681886366241198,0.24342333360074372,0.5886297306674467,0.017380407575304423,0.84800314932599,-0.020248599585257463,0.09368080911596667,platt_calib,0.0007686851460714755,,,,,,,,,,,
C,fg_ml,2024,2425,0.6812224820206924,0.6834854748895637,0.24409209643424032,0.584987161874857,0.005285481125781908,0.9944931559817973,-0.0020637711342077316,0.07410038347758265,platt_calib,0.0007723241137338333,,,,,,,,,,,
C,fg_ml,2025,2425,0.6826808617612555,0.6872871695573335,0.24486339628813025,0.5660623093180267,0.031061611587651625,0.8993874575473946,0.11007748849380765,0.07056928573510007,platt_calib,0.0007741700501816492,,,,,,,,,,,
C,fg_ml,2026,1595,0.6875746349116276,0.6918829591347408,0.24725336992171829,0.5534398943945962,0.020672840415766332,0.8229838546660522,-0.0494849427716145,0.06364774854191763,platt_calib,0.0007751640037193269,,,,,,,,,,,
C,fg_rl,2021,2304,0.6456442355016484,0.6451537978472639,0.2268090181428572,0.6045006032839064,0.035200817560603066,1.7248719726009387,0.2317843881292404,0.05125353847650741,platt_calib,0.0007644404887287254,,,,,,,,,,,
C,fg_rl,2022,2421,0.6360720276246669,0.637288336825928,0.22233735461938856,0.6157916323641769,0.022488538456623124,1.1361042975841005,0.06538452486725291,0.07968568364847024,platt_calib,0.0007672187173632195,,,,,,,,,,,
