game_id,date,teams,game_no,market,sub_market,projected_value,projected_probability,pick,line_at_projection,closing_line,actual_outcome,correct,signed_error,abs_error,brier,logloss,fav,day_night,completed,notes,stored_correct
2251184,2026-06-28,NYY@BOS,1,NRFI,NRFI,,0.4800,YRFI,,,NRFI,0,,,0.270400,0.733969,away_fav,night,1,,
2253527,2026-06-28,ARI@TB,1,NRFI,NRFI,,0.4400,YRFI,,,YRFI,1,,,0.193600,0.579818,home_fav,day,1,,
2251185,2026-06-29,CWS@BAL,1,NRFI,NRFI,,0.4200,YRFI,,,YRFI,1,,,0.176400,0.544727,home_fav,night,1,,
2251186,2026-06-29,PIT@PHI,1,NRFI,NRFI,,0.4900,YRFI,,,YRFI,1,,,0.240100,0.673345,away_fav,night,1,,
2251187,2026-06-29,DET@NYY,1,NRFI,NRFI,,0.4900,YRFI,,,YRFI,1,,,0.240100,0.673345,home_fav,night,1,,
2251188,2026-06-29,NYM@TOR,1,NRFI,NRFI,,0.6000,NRFI,,,YRFI,0,,,0.360000,0.916291,home_fav,night,1,,
2251189,2026-06-29,WSH@BOS,1,NRFI,NRFI,,0.4900,YRFI,,,YRFI,1,,,0.240100,0.673345,home_fav,night,1,,
2251190,2026-06-29,TEX@CLE,1,NRFI,NRFI,,0.4900,YRFI,,,NRFI,0,,,0.260100,0.713350,home_fav,night,1,,
2251191,2026-06-29,CIN@MIL,1,NRFI,NRFI,,0.5300,NRFI,,,YRFI,0,,,0.280900,0.755023,home_fav,night,1,,
2251192,2026-06-29,SD@CHC,1,NRFI,NRFI,,0.4700,YRFI,,,NRFI,0,,,0.280900,0.755023,home_fav,night,1,,
2251193,2026-06-29,MIN@HOU,1,NRFI,NRFI,,0.4600,YRFI,,,NRFI,0,,,0.291600,0.776529,home_fav,night,1,,
2251194,2026-06-29,MIA@COL,1,NRFI,NRFI,,0.3600,YRFI,,,NRFI,0,,,0.409600,1.021651,away_fav,night,1,,
2251195,2026-06-29,LAD@ATH,1,NRFI,NRFI,,0.4400,YRFI,,,NRFI,0,,,0.313600,0.820981,away_fav,night,1,,
2251196,2026-06-29,LAA@SEA,1,NRFI,NRFI,,0.4300,YRFI,,,YRFI,1,,,0.184900,0.562119,home_fav,night,1,,
2253549,2026-06-29,SF@ARI,1,NRFI,NRFI,,0.4700,YRFI,,,YRFI,1,,,0.220900,0.634878,home_fav,night,1,,
2251197,2026-06-30,CWS@BAL,1,NRFI,NRFI,,0.4100,YRFI,,,YRFI,1,,,0.168100,0.527633,home_fav,night,1,,
2251198,2026-06-30,TEX@CLE,1,NRFI,NRFI,,0.4900,YRFI,,,YRFI,1,,,0.240100,0.673345,away_fav,night,1,,
2251199,2026-06-30,PIT@PHI,1,NRFI,NRFI,,0.5200,NRFI,,,NRFI,1,,,0.230400,0.653926,home_fav,night,1,,
2251200,2026-06-30,DET@NYY,1,NRFI,NRFI,,0.4800,YRFI,,,YRFI,1,,,0.230400,0.653926,home_fav,night,1,,
2251201,2026-06-30,NYM@TOR,1,NRFI,NRFI,,0.5100,NRFI,,,NRFI,1,,,0.240100,0.673345,away_fav,night,1,,
2251202,2026-06-30,WSH@BOS,1,NRFI,NRFI,,0.5400,NRFI,,,YRFI,0,,,0.291600,0.776529,home_fav,night,1,,
2251203,2026-06-30,STL@ATL,1,NRFI,NRFI,,0.4900,YRFI,,,NRFI,0,,,0.260100,0.713350,home_fav,night,1,,
2251204,2026-06-30,TB@KC,1,NRFI,NRFI,,0.4600,YRFI,,,YRFI,1,,,0.211600,0.616186,away_fav,night,1,,
2251205,2026-06-30,CIN@MIL,1,NRFI,NRFI,,0.5800,NRFI,,,YRFI,0,,,0.336400,0.867501,home_fav,night,1,,
2251206,2026-06-30,SD@CHC,1,NRFI,NRFI,,0.4700,YRFI,,,YRFI,1,,,0.220900,0.634878,home_fav,night,1,,
2251207,2026-06-30,MIN@HOU,1,NRFI,NRFI,,0.4500,YRFI,,,YRFI,1,,,0.202500,0.597837,away_fav,night,1,,
2251208,2026-06-30,MIA@COL,1,NRFI,NRFI,,0.3700,YRFI,,,YRFI,1,,,0.136900,0.462035,away_fav,night,1,,
2251209,2026-06-30,LAD@ATH,1,NRFI,NRFI,,0.4600,YRFI,,,YRFI,1,,,0.211600,0.616186,away_fav,night,1,,
2251210,2026-06-30,LAA@SEA,1,NRFI,NRFI,,0.5000,YRFI,,,NRFI,0,,,0.250000,0.693147,home_fav,night,1,,
2253564,2026-06-30,SF@ARI,1,NRFI,NRFI,,0.4200,YRFI,,,YRFI,1,,,0.176400,0.544727,away_fav,night,1,,
2251211,2026-07-01,CWS@BAL,1,NRFI,NRFI,,0.4600,YRFI,,,YRFI,1,,,0.211600,0.616186,home_fav,day,1,,
2251212,2026-07-01,TEX@CLE,1,NRFI,NRFI,,0.4500,YRFI,,,NRFI,0,,,0.302500,0.798508,home_fav,day,1,,
2251213,2026-07-01,WSH@BOS,1,NRFI,NRFI,,0.5900,NRFI,,,YRFI,0,,,0.348100,0.891598,home_fav,day,1,,
2251214,2026-07-01,DET@NYY,1,NRFI,NRFI,,0.4900,YRFI,,,NRFI,0,,,0.260100,0.713350,home_fav,day,1,,
2251215,2026-07-01,SD@CHC,1,NRFI,NRFI,,0.3900,YRFI,,,YRFI,1,,,0.152100,0.494296,home_fav,day,1,,
2251216,2026-07-01,NYM@TOR,1,NRFI,NRFI,,0.4900,YRFI,,,YRFI,1,,,0.240100,0.673345,away_fav,day,1,,
2251217,2026-07-01,PIT@PHI,1,NRFI,NRFI,,0.5200,NRFI,,,NRFI,1,,,0.230400,0.653926,home_fav,night,1,,
2251218,2026-07-01,STL@ATL,1,NRFI,NRFI,,0.5000,YRFI,,,YRFI,1,,,0.250000,0.693147,home_fav,night,1,,
2251219,2026-07-01,TB@KC,1,NRFI,NRFI,,0.5000,YRFI,,,YRFI,1,,,0.250000,0.693147,away_fav,night,1,,
2251220,2026-07-01,MIN@HOU,1,NRFI,NRFI,,0.5100,NRFI,,,YRFI,0,,,0.260100,0.713350,home_fav,night,1,,
2251221,2026-07-01,CIN@MIL,1,NRFI,NRFI,,0.4800,YRFI,,,YRFI,1,,,0.230400,0.653926,home_fav,night,1,,
2251222,2026-07-01,MIA@COL,1,NRFI,NRFI,,0.3500,YRFI,,,YRFI,1,,,0.122500,0.430783,away_fav,night,1,,
2251223,2026-07-01,LAD@ATH,1,NRFI,NRFI,,0.3900,YRFI,,,NRFI,0,,,0.372100,0.941609,away_fav,night,1,,
2253578,2026-07-01,SF@ARI,1,NRFI,NRFI,,0.3900,YRFI,,,NRFI,0,,,0.372100,0.941609,home_fav,night,1,,
2251224,2026-07-02,PIT@PHI,1,NRFI,NRFI,,0.4700,YRFI,,,NRFI,0,,,0.280900,0.755023,home_fav,day,1,,
2251225,2026-07-02,CIN@MIL,1,NRFI,NRFI,,0.5600,NRFI,,,YRFI,0,,,0.313600,0.820981,home_fav,day,1,,
2251226,2026-07-02,MIA@COL,1,NRFI,NRFI,,0.4100,YRFI,,,YRFI,1,,,0.168100,0.527633,away_fav,day,1,,
2251227,2026-07-02,CWS@CLE,1,NRFI,NRFI,,0.4800,YRFI,,,NRFI,0,,,0.270400,0.733969,away_fav,night,1,,
2251228,2026-07-02,STL@ATL,1,NRFI,NRFI,,0.5300,NRFI,,,YRFI,0,,,0.280900,0.755023,home_fav,night,1,,
2251229,2026-07-02,TB@KC,1,NRFI,NRFI,,0.5300,NRFI,,,YRFI,0,,,0.280900,0.755023,away_fav,night,1,,
2251230,2026-07-02,DET@TEX,1,NRFI,NRFI,,0.5000,YRFI,,,NRFI,0,,,0.250000,0.693147,away_fav,night,1,,
2251231,2026-07-02,LAA@SEA,1,NRFI,NRFI,,0.5200,NRFI,,,NRFI,1,,,0.230400,0.653926,home_fav,night,1,,
2251232,2026-07-02,SD@LAD,1,NRFI,NRFI,,0.4900,YRFI,,,YRFI,1,,,0.240100,0.673345,home_fav,night,1,,
2251233,2026-07-03,STL@CHC,1,NRFI,NRFI,,0.4800,YRFI,,,NRFI,0,,,0.270400,0.733969,home_fav,day,1,,
2251234,2026-07-03,PIT@WSH,1,NRFI,NRFI,,0.5300,NRFI,,,YRFI,0,,,0.280900,0.755023,home_fav,night,1,,
2251235,2026-07-03,MIN@NYY,1,NRFI,NRFI,,0.4500,YRFI,,,YRFI,1,,,0.202500,0.597837,home_fav,night,1,,
2251236,2026-07-03,BAL@CIN,1,NRFI,NRFI,,0.4500,YRFI,,,YRFI,1,,,0.202500,0.597837,away_fav,night,1,,
2251237,2026-07-03,CWS@CLE,1,NRFI,NRFI,,0.5100,NRFI,,,NRFI,1,,,0.240100,0.673345,home_fav,night,1,,
2251238,2026-07-03,NYM@ATL,1,NRFI,NRFI,,0.5400,NRFI,,,NRFI,1,,,0.211600,0.616186,away_fav,night,1,,
2251239,2026-07-03,SF@COL,1,NRFI,NRFI,,0.3900,YRFI,,,YRFI,1,,,0.152100,0.494296,away_fav,night,1,,
2251240,2026-07-03,TB@HOU,1,NRFI,NRFI,,0.4400,YRFI,,,NRFI,0,,,0.313600,0.820981,away_fav,night,1,,
2251241,2026-07-03,BOS@LAA,1,NRFI,NRFI,,0.4700,YRFI,,,NRFI,0,,,0.280900,0.755023,away_fav,night,1,,
2251242,2026-07-03,MIA@ATH,1,NRFI,NRFI,,0.5000,YRFI,,,YRFI,1,,,0.250000,0.693147,home_fav,night,1,,
2251243,2026-07-03,SD@LAD,1,NRFI,NRFI,,0.5400,NRFI,,,YRFI,0,,,0.291600,0.776529,home_fav,night,1,,
2251244,2026-07-03,TOR@SEA,1,NRFI,NRFI,,0.5100,NRFI,,,NRFI,1,,,0.240100,0.673345,away_fav,night,1,,
2253598,2026-07-03,MIL@ARI,1,NRFI,NRFI,,0.4500,YRFI,,,NRFI,0,,,0.302500,0.798508,away_fav,night,1,,
2251245,2026-07-04,PIT@WSH,1,NRFI,NRFI,,0.4700,YRFI,,,YRFI,1,,,0.220900,0.634878,away_fav,day,1,,
2251246,2026-07-04,MIN@NYY,1,NRFI,NRFI,,0.4500,YRFI,,,YRFI,1,,,0.202500,0.597837,home_fav,day,1,,
2251247,2026-07-04,DET@TEX,1,NRFI,NRFI,,0.5500,NRFI,,,YRFI,0,,,0.302500,0.798508,away_fav,day,1,,
2251248,2026-07-04,TOR@SEA,1,NRFI,NRFI,,0.5600,NRFI,,,NRFI,1,,,0.193600,0.579818,home_fav,day,1,,
2251249,2026-07-04,BAL@CIN,1,NRFI,NRFI,,0.5600,NRFI,,,YRFI,0,,,0.313600,0.820981,home_fav,night,1,,
2251250,2026-07-04,TB@HOU,1,NRFI,NRFI,,0.5300,NRFI,,,YRFI,0,,,0.280900,0.755023,away_fav,night,1,,
2251251,2026-07-04,CWS@CLE,1,NRFI,NRFI,,0.4800,YRFI,,,YRFI,1,,,0.230400,0.653926,home_fav,night,1,,
2251252,2026-07-04,STL@CHC,1,NRFI,NRFI,,0.5300,NRFI,,,YRFI,0,,,0.280900,0.755023,home_fav,night,1,,
2251253,2026-07-04,NYM@ATL,1,NRFI,NRFI,,0.4700,YRFI,,,NRFI,0,,,0.280900,0.755023,home_fav,night,1,,
2251254,2026-07-04,SF@COL,1,NRFI,NRFI,,0.3800,YRFI,,,YRFI,1,,,0.144400,0.478036,away_fav,night,1,,
2251255,2026-07-04,PHI@KC,1,NRFI,NRFI,,0.4900,YRFI,,,NRFI,0,,,0.260100,0.713350,away_fav,night,1,,
2251256,2026-07-04,BOS@LAA,1,NRFI,NRFI,,0.5100,NRFI,,,YRFI,0,,,0.260100,0.713350,away_fav,night,1,,
2251257,2026-07-04,MIA@ATH,1,NRFI,NRFI,,0.3900,YRFI,,,NRFI,0,,,0.372100,0.941609,away_fav,night,1,,
2251258,2026-07-04,SD@LAD,1,NRFI,NRFI,,0.4400,YRFI,,,NRFI,0,,,0.313600,0.820981,home_fav,night,1,,
2253614,2026-07-04,MIL@ARI,1,NRFI,NRFI,,0.4500,YRFI,,,YRFI,1,,,0.202500,0.597837,away_fav,night,1,,
2251259,2026-07-05,NYM@ATL,1,NRFI,NRFI,,0.5300,NRFI,,,YRFI,0,,,0.280900,0.755023,away_fav,day,1,,
2251260,2026-07-05,BAL@CIN,1,NRFI,NRFI,,0.5100,NRFI,,,NRFI,1,,,0.240100,0.673345,away_fav,day,1,,
2251261,2026-07-05,PIT@WSH,1,NRFI,NRFI,,0.5000,YRFI,,,NRFI,0,,,0.250000,0.693147,home_fav,day,1,,
2251262,2026-07-05,MIN@NYY,1,NRFI,NRFI,,0.4900,YRFI,,,YRFI,1,,,0.240100,0.673345,home_fav,day,1,,
2251263,2026-07-05,CWS@CLE,1,NRFI,NRFI,,0.4800,YRFI,,,YRFI,1,,,0.230400,0.653926,home_fav,day,1,,
2251264,2026-07-05,STL@CHC,1,NRFI,NRFI,,0.4600,YRFI,,,YRFI,1,,,0.211600,0.616186,home_fav,day,1,,
2251265,2026-07-05,PHI@KC,1,NRFI,NRFI,,0.4400,YRFI,,,YRFI,1,,,0.193600,0.579818,away_fav,day,1,,
2251266,2026-07-05,TB@HOU,1,NRFI,NRFI,,0.5100,NRFI,,,NRFI,1,,,0.240100,0.673345,away_fav,day,1,,
2251267,2026-07-05,DET@TEX,1,NRFI,NRFI,,0.5200,NRFI,,,NRFI,1,,,0.230400,0.653926,away_fav,day,1,,
2251268,2026-07-05,SF@COL,1,NRFI,NRFI,,0.3800,YRFI,,,YRFI,1,,,0.144400,0.478036,away_fav,day,1,,
2251269,2026-07-05,MIA@ATH,1,NRFI,NRFI,,0.4000,YRFI,,,YRFI,1,,,0.160000,0.510826,away_fav,day,1,,
