game_id,date,teams,prop_id,market,sub_market,player,hand,projected_value,projected_probability,pick,line_at_projection,closing_line,actual_outcome,actual_ks,correct,signed_error,abs_error,brier,logloss,completed,notes,stored_result,stored_correct,stored_error,verdict
2251375,2026-07-17,SF@SEA,1860025,K_PROP,away,Logan Webb,,4.02,0.2655,UNDER,5.5,,UNDER,2,1,2.02,2.02,0.070490,0.308565,1,,UNDER,1,-2.040,UNDER
2251364,2026-07-17,CWS@TOR,1890001,K_PROP,away,Davis Martin,,3.09,0.4231,UNDER,3.5,,OVER,5,0,-1.91,1.91,0.332814,0.860147,1,,OVER,0,1.910,UNDER
2251367,2026-07-17,TEX@ATL,1890002,K_PROP,away,MacKenzie Gore,,3.43,0.1684,UNDER,5.5,,UNDER,3,1,0.43,0.43,0.028359,0.184404,1,,UNDER,1,0.190,UNDER
2251364,2026-07-17,CWS@TOR,1890003,K_PROP,home,Shane Bieber,,3.16,0.2546,UNDER,4.5,,UNDER,4,1,-0.84,0.84,0.064821,0.293834,1,,UNDER,1,0.830,UNDER
2251365,2026-07-18,PIT@CLE,1860005,K_PROP,home,Joey Cantillo,,4.27,0.3119,UNDER,5.5,,UNDER,0,1,4.27,4.27,0.097282,0.373821,1,,UNDER,1,-5.650,UNDER
2251365,2026-07-18,PIT@CLE,1860006,K_PROP,away,Paul Skenes,,6.48,0.5437,OVER,6.5,,UNDER,0,0,6.48,6.48,0.295610,0.784605,1,,UNDER,1,-3.260,PASS
2251376,2026-07-18,MIN@CHC,1920001,K_PROP,home,Shota Imanaga,,4.89,0.4281,UNDER,5.5,,UNDER,4,1,0.89,0.89,0.183270,0.558791,1,,UNDER,0,-1.280,OVER
2251376,2026-07-18,MIN@CHC,1920002,K_PROP,away,Zebby Matthews,,2.39,0.1184,UNDER,4.5,,OVER,6,0,-3.61,3.61,0.777219,2.133687,1,,OVER,0,1.720,UNDER
2251377,2026-07-18,CWS@TOR,1920003,K_PROP,away,Sean Burke,,3.11,0.1218,UNDER,5.5,,UNDER,5,1,-1.89,1.89,0.014835,0.129881,1,,OVER,0,1.910,UNDER
2251377,2026-07-18,CWS@TOR,1920004,K_PROP,home,Trey Yesavage,,2.94,0.1009,UNDER,5.5,,OVER,6,0,-3.06,3.06,0.808381,2.293625,1,,OVER,0,2.840,UNDER
2251378,2026-07-18,CIN@COL,1920005,K_PROP,away,Hunter Greene,,7.14,0.6449,OVER,6.5,,UNDER,2,0,5.14,5.14,0.415896,1.035356,1,,UNDER,1,-0.740,PASS
2251378,2026-07-18,CIN@COL,1920006,K_PROP,home,Ryan Feltner,,2.7,0.1675,UNDER,4.5,,UNDER,3,1,-0.30,0.30,0.028056,0.183322,1,,OVER,0,1.100,UNDER
2251379,2026-07-18,NYM@PHI,1920007,K_PROP,away,Nolan McLean,,6.6,0.5628,OVER,6.5,,OVER,7,1,-0.40,0.40,0.191144,0.574831,1,,OVER,0,3.630,UNDER
2251379,2026-07-18,NYM@PHI,1920008,K_PROP,home,Jesus Luzardo,,7.66,0.7139,OVER,6.5,,OVER,7,1,0.66,0.66,0.081853,0.337012,1,,OVER,1,-0.660,UNDER
2253749,2026-07-18,STL@ARI,1920009,K_PROP,home,Eduardo Rodriguez,,1.75,0.1216,UNDER,3.5,,UNDER,3,1,-1.25,1.25,0.014787,0.129653,1,,UNDER,1,0.680,UNDER
2251384,2026-07-18,TEX@ATL,1920010,K_PROP,home,Grant Holmes,,2.51,0.1359,UNDER,4.5,,UNDER,2,1,0.51,0.51,0.018469,0.146067,1,,UNDER,1,-1.090,UNDER
2251380,2026-07-18,BAL@HOU,1920011,K_PROP,away,Brandon Young,,2,0.0674,UNDER,4.5,,OVER,8,0,-6.00,6.00,0.869743,2.697110,1,,OVER,0,5.320,UNDER
2251383,2026-07-18,TB@BOS,1920012,K_PROP,home,Sonny Gray,,2.62,0.1546,UNDER,4.5,,OVER,5,0,-2.38,2.38,0.714701,1.866914,1,,OVER,1,1.480,UNDER
2251380,2026-07-18,BAL@HOU,1920013,K_PROP,home,Hunter Brown,,6.31,0.5165,UNDER,6.5,,UNDER,6,1,0.31,0.31,0.266772,0.726704,1,,OVER,0,2.530,PASS
2251385,2026-07-18,MIA@MIL,1920014,K_PROP,away,Eury Perez,,3.19,0.1328,UNDER,5.5,,UNDER,5,1,-1.81,1.81,0.017636,0.142486,1,,UNDER,1,0.930,UNDER
2253749,2026-07-18,STL@ARI,1920015,K_PROP,away,Andre Pallante,,1.92,0.1537,UNDER,3.5,,OVER,6,0,-4.08,4.08,0.716224,1.872753,1,,OVER,0,2.930,UNDER
2251384,2026-07-18,TEX@ATL,1920016,K_PROP,away,Nathan Eovaldi,,5.34,0.5104,UNDER,5.5,,OVER,7,0,-1.66,1.66,0.239708,0.672561,1,,OVER,0,3.350,UNDER
2251386,2026-07-18,SF@SEA,1920019,K_PROP,home,Logan Gilbert,,3.95,0.1372,UNDER,6.5,,OVER,7,0,-3.05,3.05,0.744424,1.986316,1,,OVER,0,3.050,UNDER
2251386,2026-07-18,SF@SEA,1920020,K_PROP,away,Robbie Ray,,2.81,0.0862,UNDER,5.5,,UNDER,5,1,-2.19,2.19,0.007430,0.090144,1,,UNDER,1,2.190,UNDER
2251388,2026-07-18,WSH@ATH,1920021,K_PROP,home,Jacob Lopez,,1.75,0.1225,UNDER,3.5,,OVER,7,0,-5.25,5.25,0.770006,2.099644,1,,OVER,0,5.250,UNDER
2251388,2026-07-18,WSH@ATH,1920022,K_PROP,away,Foster Griffin,,4.24,0.3061,UNDER,5.5,,UNDER,4,1,0.24,0.24,0.093697,0.365427,1,,UNDER,1,-0.240,UNDER
2251389,2026-07-18,DET@LAA,1920023,K_PROP,away,Casey Mize,,4.07,0.2755,UNDER,5.5,,OVER,9,0,-4.93,4.93,0.524900,1.289168,1,,OVER,0,4.930,UNDER
2251389,2026-07-18,DET@LAA,1920024,K_PROP,home,Ryan Johnson,,3.13,0.2493,UNDER,4.5,,UNDER,3,1,0.13,0.13,0.062150,0.286749,1,,UNDER,1,-0.130,UNDER
