game_id,date,teams,game_no,market,sub_market,projected_value,projected_probability,pick,line_at_projection,closing_line,actual_outcome,correct,signed_error,abs_error,brier,logloss,fav,day_night,completed,notes,stored_correct
2250668,2026-05-18,BOS@KC,1,F5,ML,,0.4421,HOME,-116,,PUSH,,,,,,away_fav,night,1,push(tie),
2250668,2026-05-18,BOS@KC,1,F5,RL,,0.5273,AWAY,-0.5,,HOME,0,,,0.278045,0.749294,away_fav,night,1,,
2250668,2026-05-18,BOS@KC,1,F5,TOTAL,5.00,0.3700,UNDER,4.5,,UNDER,1,5.00,5.00,0.136900,0.462035,away_fav,night,1,,
2250669,2026-05-18,HOU@MIN,1,F5,ML,,0.4317,HOME,-108,,HOME,1,,,0.186365,0.565106,away_fav,night,1,,
2250669,2026-05-18,HOU@MIN,1,F5,RL,,0.5017,AWAY,0.5,,HOME,0,,,0.251703,0.696553,away_fav,night,1,,
2250669,2026-05-18,HOU@MIN,1,F5,TOTAL,5.50,0.5000,UNDER,5.5,,UNDER,1,2.50,2.50,0.250000,0.693147,away_fav,night,1,,
2250670,2026-05-18,MIL@CHC,1,F5,ML,,0.3323,HOME,+136,,AWAY,0,,,0.445823,1.101717,home_fav,night,1,,
2250670,2026-05-18,MIL@CHC,1,F5,RL,,0.3961,HOME,0.5,,AWAY,0,,,0.364695,0.926089,home_fav,night,1,,
2250670,2026-05-18,MIL@CHC,1,F5,TOTAL,6.00,0.2600,UNDER,5.5,,OVER,0,-5.00,5.00,0.547600,1.347074,home_fav,night,1,,
2250671,2026-05-18,TEX@COL,1,F5,ML,,0.4273,HOME,-164,,HOME,1,,,0.182585,0.557393,away_fav,night,1,,
2250671,2026-05-18,TEX@COL,1,F5,RL,,0.5053,AWAY,-0.5,,HOME,0,,,0.255328,0.703804,away_fav,night,1,,
2250671,2026-05-18,TEX@COL,1,F5,TOTAL,5.50,0.3600,UNDER,4.5,,OVER,0,-2.50,2.50,0.409600,1.021651,away_fav,night,1,,
2250672,2026-05-18,ATH@LAA,1,F5,ML,,0.4494,HOME,-138,,PUSH,,,,,,away_fav,night,1,push(tie),
2250672,2026-05-18,ATH@LAA,1,F5,RL,,0.5371,AWAY,-0.5,,HOME,0,,,0.288476,0.770244,away_fav,night,1,,
2250672,2026-05-18,ATH@LAA,1,F5,TOTAL,5.00,0.3600,UNDER,4.5,,UNDER,1,5.00,5.00,0.129600,0.446287,away_fav,night,1,,
2250673,2026-05-18,LAD@SD,1,F5,ML,,0.4249,HOME,-160,,HOME,1,,,0.180540,0.553211,away_fav,night,1,,
2250673,2026-05-18,LAD@SD,1,F5,RL,,0.5138,AWAY,-0.5,,HOME,0,,,0.263990,0.721135,away_fav,night,1,,
2250673,2026-05-18,LAD@SD,1,F5,TOTAL,4.00,0.4200,UNDER,4.5,,UNDER,1,3.00,3.00,0.176400,0.544727,away_fav,night,1,,
2250674,2026-05-18,CWS@SEA,1,F5,ML,,0.3991,HOME,+140,,HOME,1,,,0.159281,0.509327,home_fav,night,1,,
2250674,2026-05-18,CWS@SEA,1,F5,RL,,0.4855,HOME,0.5,,HOME,1,,,0.235710,0.664560,home_fav,night,1,,
2250674,2026-05-18,CWS@SEA,1,F5,TOTAL,4.00,0.4000,UNDER,3.5,,UNDER,1,2.00,2.00,0.160000,0.510826,home_fav,night,1,,
2252987,2026-05-18,SF@ARI,1,F5,ML,,0.4407,HOME,+102,,HOME,1,,,0.194216,0.581069,home_fav,night,1,,
2252987,2026-05-18,SF@ARI,1,F5,RL,,0.5212,AWAY,0.5,,HOME,0,,,0.271649,0.736472,home_fav,night,1,,
2252987,2026-05-18,SF@ARI,1,F5,TOTAL,5.00,0.4200,UNDER,4.5,,OVER,0,-9.00,9.00,0.336400,0.867501,home_fav,night,1,,
2250675,2026-05-19,ATL@MIA,1,F5,ML,,0.4278,HOME,,,HOME,1,,,0.183013,0.558267,away_fav,day,1,,
2250676,2026-05-19,CLE@DET,1,F5,ML,,0.4148,HOME,,,PUSH,,,,,,away_fav,night,1,push(tie),
2250677,2026-05-19,BAL@TB,1,F5,ML,,0.3942,HOME,,,PUSH,,,,,,away_fav,night,1,push(tie),
2250678,2026-05-19,CIN@PHI,1,F5,ML,,0.4594,HOME,,,AWAY,0,,,0.292248,0.777834,home_fav,night,1,,
2250679,2026-05-19,NYM@WSH,1,F5,ML,,0.4174,HOME,,,HOME,1,,,0.174223,0.540254,away_fav,night,1,,
2250680,2026-05-19,TOR@NYY,1,F5,ML,,0.4168,HOME,,,HOME,1,,,0.173722,0.539225,home_fav,night,1,,
2250681,2026-05-19,BOS@KC,1,F5,ML,,0.4644,HOME,,,AWAY,0,,,0.286867,0.767009,away_fav,night,1,,
