game_id,date,teams,game_no,market,sub_market,projected_value,projected_probability,pick,line_at_projection,closing_line,closing_novig_p_away,actual_outcome,correct,signed_error,abs_error,brier,logloss,fav,day_night,completed,notes,stored_correct
2251266,2026-07-05,TB@HOU,1,FG,TOTAL,8.93,0.4391,UNDER,9,9,,UNDER,1,6.93,6.93,0.192809,0.578213,away_fav,day,1,,
2251267,2026-07-05,DET@TEX,1,FG,ML,,0.5070,AWAY,-125,-126,0.5333,AWAY,1,,,0.243049,0.679244,away_fav,day,1,,
2251267,2026-07-05,DET@TEX,1,FG,RL,0.36,,HOME,-1.5/+135,-1.5/+137,,AWAY,0,-2.64,2.64,,,away_fav,day,1,,
2251267,2026-07-05,DET@TEX,1,FG,TOTAL,6.97,0.3830,UNDER,7.5,8,,OVER,0,-2.03,2.03,0.380689,0.959720,away_fav,day,1,,
2251268,2026-07-05,SF@COL,1,FG,ML,,0.4873,HOME,-129,-129,0.5383,HOME,1,,,0.237461,0.668064,away_fav,day,1,,
2251268,2026-07-05,SF@COL,1,FG,RL,0.10,,HOME,-1.5/+115,-1.5/+115,,HOME,1,1.10,1.10,,,away_fav,day,1,,
2251268,2026-07-05,SF@COL,1,FG,TOTAL,12.66,0.4260,UNDER,13,13,,PUSH,,-0.34,0.34,,,away_fav,day,1,push,
2251269,2026-07-05,MIA@ATH,1,FG,ML,,0.4279,HOME,-102,-102,0.4826,AWAY,0,,,0.327298,0.848866,away_fav,day,1,,
2251269,2026-07-05,MIA@ATH,1,FG,RL,-0.56,,HOME,-1.5/+149,-1.5/+149,,HOME,1,-1.56,1.56,,,away_fav,day,1,,
2251269,2026-07-05,MIA@ATH,1,FG,TOTAL,9.62,0.4165,UNDER,10,10,,OVER,0,-7.38,7.38,0.340472,0.875869,away_fav,day,1,,
2251270,2026-07-05,TOR@SEA,1,FG,ML,,0.4552,HOME,+100,-110,0.5000,HOME,1,,,0.207207,0.607337,home_fav,night,1,,
2251270,2026-07-05,TOR@SEA,1,FG,RL,-0.13,,AWAY,+1.5/-208,-1.5/+158,,HOME,0,3.87,3.87,,,home_fav,night,1,,
2251270,2026-07-05,TOR@SEA,1,FG,TOTAL,6.59,0.3450,UNDER,7.5,7.5,,UNDER,1,2.59,2.59,0.119025,0.423120,home_fav,night,1,,
2251271,2026-07-05,SD@LAD,1,FG,ML,,0.3436,HOME,+188,188,0.3322,AWAY,0,,,0.430861,1.068277,home_fav,night,1,,
2251271,2026-07-05,SD@LAD,1,FG,RL,-1.63,,HOME,+1.5/-106,1.5/-105,,AWAY,0,-4.63,4.63,,,home_fav,night,1,,
2251271,2026-07-05,SD@LAD,1,FG,TOTAL,9.79,0.4623,UNDER,10,10,,UNDER,1,2.79,2.79,0.213721,0.620454,home_fav,night,1,,
2251272,2026-07-05,BOS@LAA,1,FG,ML,,0.5134,AWAY,-167,,,AWAY,1,,,0.236780,0.666700,away_fav,night,1,,
2251272,2026-07-05,BOS@LAA,1,FG,RL,0.49,,HOME,-1.5/+102,,,AWAY,0,-1.51,1.51,,,away_fav,night,1,,
2251272,2026-07-05,BOS@LAA,1,FG,TOTAL,8.60,0.4958,UNDER,8,,,OVER,0,-3.40,3.40,0.254218,0.701583,away_fav,night,1,,
2253626,2026-07-05,MIL@ARI,1,FG,ML,,0.4763,HOME,-122,-122,0.5248,AWAY,0,,,0.274262,0.741707,away_fav,day,1,,
2253626,2026-07-05,MIL@ARI,1,FG,RL,0.09,,HOME,-1.5/+129,-1.5/+129,,HOME,1,-0.91,0.91,,,away_fav,day,1,,
2253626,2026-07-05,MIL@ARI,1,FG,TOTAL,8.93,0.4388,UNDER,9,9,,UNDER,1,3.93,3.93,0.192545,0.577678,away_fav,day,1,,
2251273,2026-07-06,PHI@KC,1,FG,ML,,0.4757,HOME,-219,-219,0.6562,HOME,1,,,0.226290,0.645691,away_fav,day,1,,
2251273,2026-07-06,PHI@KC,1,FG,RL,0.07,,HOME,-1.5/-142,-1.5/-137,,HOME,1,14.07,14.07,,,away_fav,day,1,,
2251273,2026-07-06,PHI@KC,1,FG,TOTAL,8.86,0.5187,OVER,8.5,8.5,,OVER,1,-7.14,7.14,0.231650,0.656430,away_fav,day,1,,
2251274,2026-07-06,NYY@TB,1,FG,ML,,0.4803,HOME,-129,-129,0.5383,AWAY,0,,,0.270088,0.733344,away_fav,night,1,,
2251274,2026-07-06,NYY@TB,1,FG,RL,0.11,,HOME,-1.5/+140,-1.5/+140,,AWAY,0,-3.89,3.89,,,away_fav,night,1,,
2251274,2026-07-06,NYY@TB,1,FG,TOTAL,8.13,0.4943,UNDER,7.5,7.5,,UNDER,1,2.13,2.13,0.244332,0.681812,away_fav,night,1,,
2251275,2026-07-06,HOU@WSH,1,FG,ML,,0.4231,HOME,-106,-106,0.4913,HOME,1,,,0.179014,0.550086,away_fav,night,1,,
2251275,2026-07-06,HOU@WSH,1,FG,RL,-0.70,,HOME,-1.5/+152,-1.5/+153,,HOME,1,0.30,0.30,,,away_fav,night,1,,
2251275,2026-07-06,HOU@WSH,1,FG,TOTAL,11.20,0.5338,OVER,10,10,,OVER,1,-11.80,11.80,0.217342,0.627734,away_fav,night,1,,
2251276,2026-07-06,NYM@ATL,1,FG,ML,,0.3914,HOME,+104,104,0.4679,AWAY,0,,,0.370394,0.938025,home_fav,night,1,,
