comparison,dimension,bucket,n,brier_a,brier_b,delta_a_minus_b,se,z
live_vs_p1,park,LAD,50,0.249488,0.243735,0.005753,0.006788,0.85
p1_vs_p2,park,LAD,50,0.243735,0.243735,0.0,0.0,
live_clean_vs_p2,park,LAD,38,0.249889,0.239666,0.010223,0.008037,1.27
live_vs_p2,park,MIA,51,0.250729,0.244332,0.006397,0.012007,0.53
live_vs_p1,park,MIA,51,0.250729,0.244332,0.006397,0.012007,0.53
p1_vs_p2,park,MIA,52,0.245764,0.245764,0.0,0.0,
live_clean_vs_p2,park,MIA,38,0.257418,0.245261,0.012158,0.01333,0.91
live_vs_p2,park,MIL,54,0.250291,0.250513,-0.000222,0.010384,-0.02
live_vs_p1,park,MIL,54,0.250291,0.250513,-0.000222,0.010384,-0.02
p1_vs_p2,park,MIL,54,0.250513,0.250513,0.0,0.0,
live_clean_vs_p2,park,MIL,42,0.253755,0.247133,0.006622,0.011668,0.57
live_vs_p2,park,MIN,52,0.249038,0.238343,0.010695,0.010594,1.01
live_vs_p1,park,MIN,52,0.249038,0.24341,0.005628,0.008555,0.66
p1_vs_p2,park,MIN,52,0.24341,0.238343,0.005067,0.005067,1.0
live_clean_vs_p2,park,MIN,41,0.25218,0.236484,0.015696,0.011745,1.34
live_vs_p2,park,NYM,50,0.26329,0.261489,0.001801,0.007242,0.25
live_vs_p1,park,NYM,50,0.26329,0.261489,0.001801,0.007242,0.25
p1_vs_p2,park,NYM,50,0.261489,0.261489,0.0,0.0,
live_clean_vs_p2,park,NYM,36,0.262581,0.257034,0.005546,0.007087,0.78
live_vs_p2,park,NYY,48,0.237631,0.250554,-0.012923,0.011055,-1.17
live_vs_p1,park,NYY,48,0.237631,0.250554,-0.012923,0.011055,-1.17
p1_vs_p2,park,NYY,49,0.250045,0.250045,0.0,0.0,
live_clean_vs_p2,park,NYY,37,0.242027,0.249348,-0.007321,0.012302,-0.6
live_vs_p2,park,PHI,52,0.243802,0.24751,-0.003708,0.006821,-0.54
live_vs_p1,park,PHI,52,0.243802,0.24751,-0.003708,0.006821,-0.54
p1_vs_p2,park,PHI,53,0.246958,0.246958,0.0,0.0,
live_clean_vs_p2,park,PHI,40,0.245415,0.245313,0.000102,0.007224,0.01
live_vs_p2,park,PIT,52,0.250071,0.248487,0.001584,0.005901,0.27
live_vs_p1,park,PIT,52,0.250071,0.248487,0.001584,0.005901,0.27
p1_vs_p2,park,PIT,52,0.248487,0.248487,0.0,0.0,
live_clean_vs_p2,park,PIT,40,0.254032,0.249187,0.004846,0.006836,0.71
live_vs_p2,park,SD,50,0.264762,0.239043,0.025719,0.012886,2.0
live_vs_p1,park,SD,50,0.264762,0.239043,0.025719,0.012886,2.0
p1_vs_p2,park,SD,51,0.240638,0.240638,0.0,0.0,
live_clean_vs_p2,park,SD,37,0.264784,0.239217,0.025566,0.014264,1.79
live_vs_p2,park,SEA,53,0.242879,0.259835,-0.016956,0.015245,-1.11
live_vs_p1,park,SEA,53,0.242879,0.259835,-0.016956,0.015245,-1.11
