"package","version","license","needs_compilation","built_r","install_mtime"
"magick","2.9.1","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:28:04 UTC; unix","2026-07-26T21:28:04"
"magrittr","2.0.5","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:16 UTC; unix","2026-07-26T21:23:16"
"markdown","2.0","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:23:31 UTC; unix","2026-07-26T21:23:31"
"memoise","2.0.1","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:23:42 UTC; unix","2026-07-26T21:23:42"
"mime","0.13","GPL","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:22:49 UTC; unix","2026-07-26T21:22:49"
"nfl4th","1.0.7","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:26:46 UTC; unix","2026-07-26T21:26:46"
"nflfastR","5.2.0","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:26:42 UTC; unix","2026-07-26T21:26:42"
"nflplotR","1.6.0","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:28:25 UTC; unix","2026-07-26T21:28:25"
"nflreadr","1.5.1","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:23:45 UTC; unix","2026-07-26T21:23:45"
"nflseedR","2.0.2","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:26:30 UTC; unix","2026-07-26T21:26:30"
"nflverse","1.0.3","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:28:27 UTC; unix","2026-07-26T21:28:27"
"parallelly","1.48.0","LGPL (>= 2.1)","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:22:54 UTC; unix","2026-07-26T21:22:54"
"pillar","1.11.1","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:23:54 UTC; unix","2026-07-26T21:23:54"
"pkgconfig","2.0.3","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:22:50 UTC; unix","2026-07-26T21:22:50"
"progressr","1.0.0","Apache License (>= 2)","no","R 4.6.1; ; 2026-07-27 04:23:28 UTC; unix","2026-07-26T21:23:28"
"proto","1.0.0","GPL-2","no","R 4.6.1; ; 2026-07-27 04:23:03 UTC; unix","2026-07-26T21:23:03"
"purrr","1.2.2","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:54 UTC; unix","2026-07-26T21:23:54"
"R6","2.6.1","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:22:49 UTC; unix","2026-07-26T21:22:49"
"rappdirs","0.3.4","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:13 UTC; unix","2026-07-26T21:23:13"
"RColorBrewer","1.1-3","Apache License 2.0","no","R 4.6.1; ; 2026-07-27 04:23:01 UTC; unix","2026-07-26T21:23:01"
"Rcpp","1.1.2","GPL (>= 2)","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:00 UTC; unix","2026-07-26T21:23:00"
"reactable","0.4.5","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:24:37 UTC; unix","2026-07-26T21:24:37"
"reactR","0.6.1","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:23:39 UTC; unix","2026-07-26T21:23:39"
"rlang","1.3.0","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:17 UTC; unix","2026-07-26T21:23:17"
"rmarkdown","2.31","GPL-3","no","R 4.6.1; ; 2026-07-27 04:24:33 UTC; unix","2026-07-26T21:24:33"
"rstudioapi","0.19.0","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:23:18 UTC; unix","2026-07-26T21:23:18"
"S7","0.2.2","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:13 UTC; unix","2026-07-26T21:23:13"
"sass","0.4.10","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:42 UTC; unix","2026-07-26T21:23:42"
