starterId,pitcherName,nLive,meanLiveErr,ci95LiveErr,nP1,meanP1Err,nP2,meanP2Err,meanActualKs,meanKProj,meanOuts
688107,Brandon Sproat|Brandon Woodruff|Coleman Crow|Jacob Misiorowski|Kyle Harrison|Robert Gasser,10,-1.357,1.3209,10,-1.343,10,-1.819,4.8,3.443,15.4
669194,Eduardo Rodriguez|Merrill Kelly|Ryne Nelson,14,-1.3414,0.9458,15,-0.461,15,-0.769,4.133,2.801,16.67
676962,Ben Brown|Colin Rea|Edward Cabrera|Jordan Wicks,6,-1.3283,1.878,8,1.625,8,0.604,5.125,3.672,15.88
695505,Andrew Abbott|Brady Singer|Brandon Williamson|Chase Burns,18,-1.3167,2.0299,19,1.777,19,0.964,6.526,5.128,17.0
667755,Grayson Rodriguez|Jose Soriano|Walbert Urena,17,-1.3088,1.2636,21,1.499,21,0.846,5.81,4.338,16.86
677960,Cam Schlittler|Luis Gil|Ryan Weathers|Will Warren,17,-1.3053,1.1355,19,0.434,19,-0.23,6.053,4.93,16.16
547179,Gabriel Hughes|Jose Quintana|Michael Lorenzen|Ryan Feltner,19,-1.2942,0.9933,21,-0.556,21,-0.862,3.714,2.601,14.24
663556,Drew Rasmussen|Griffin Jax|Nick Martinez|Shane McClanahan,16,-1.2931,0.6909,19,1.425,19,0.714,4.632,3.269,15.16
663903,Brady Singer|Hunter Greene|Nick Lodolo|Rhett Lowder,18,-1.2822,1.12,20,-1.15,20,-1.433,4.4,3.107,15.5
641743,Anthony Kay|Davis Martin|Sean Burke,15,-1.248,1.0055,19,-0.794,19,-1.169,4.158,2.951,14.42
701656,Brandon Sproat|Chad Patrick|Logan Henderson|Robert Gasser,8,-1.2337,2.0462,8,1.63,8,0.709,5.875,4.641,14.38
625643,Hurston Waldrep|JR Ritchie|Martin Perez|Reynaldo Lopez,9,-1.2278,1.4368,10,-1.15,10,-1.381,4.1,3.217,13.2
592791,Colin Rea|Jameson Taillon,11,-1.2255,0.9101,14,-1.213,14,-1.507,4.643,3.138,15.43
680736,Eric Lauer|Justin Wrobleski|Roki Sasaki|Yoshinobu Yamamoto,14,-1.215,2.2972,16,0.313,16,-0.2,4.875,3.499,19.25
837227,Jason Alexander|Lance McCullers|Mike Burrows|Peter Lambert|Spencer Arrighetti|Tatsuya Imai,11,-1.2064,2.2615,14,-1.281,14,-1.692,5.071,3.339,12.43
650633,Griffin Canning|Michael King|Randy Vasquez,19,-1.1879,0.8323,21,0.766,21,0.186,4.905,3.654,17.05
605488,J.T. Ginn|Jeffrey Springs,18,-1.1689,0.6438,20,0.099,20,-0.248,4.3,3.164,15.4
693821,Bryce Elder|Chris Sale|Grant Holmes|Reynaldo Lopez,18,-1.0917,1.2975,19,1.446,19,0.901,4.737,3.797,17.16
