propId,gameId,gameDate,gamePk,side,pitcher,mlbamId,class,ungraded_reason,kProj,bookLine,pOver,pUnder,actualKs,stored_backtestResult,stored_modelCorrect,stored_modelError,derived_backtestResult,derived_modelCorrect,derived_modelError,grade_status,diff_fields,substrate_status,substrate_starterId,substrate_starterKs
90116,2250063,2026-03-30,823972,away,Parker Messick,800048,final_in_scope,,4.73,4.5,0.5105,0.4895,5,OVER,1,-0.27,OVER,1,-0.27,MATCH,,SIDE_MATCH_KS_EQUAL,800048,5
90120,2250064,2026-03-31,824861,away,Jacob deGrom,594798,final_in_scope,,5.91,5.5,0.5395,0.4605,7,OVER,1,-1.09,OVER,1,-1.09,MATCH,,SIDE_MATCH_KS_EQUAL,594798,7
90119,2250064,2026-03-31,824861,home,Zach Eflin,621107,final_in_scope,,2.56,3.5,0.2563,0.7437,7,OVER,0,-4.44,OVER,0,-4.44,MATCH,,SIDE_MATCH_KS_EQUAL,621107,7
90125,2250065,2026-03-31,824537,away,Bubba Chandler,696149,final_in_scope,,6.05,5.5,0.5623,0.4377,6,OVER,1,0.05,OVER,1,0.05,MATCH,,SIDE_MATCH_KS_EQUAL,696149,6
90121,2250065,2026-03-31,824537,home,Brandon Williamson,682227,final_in_scope,,3.81,4.5,0.3336,0.6664,3,UNDER,1,0.81,UNDER,1,0.81,MATCH,,SIDE_MATCH_KS_EQUAL,682227,3
90124,2250066,2026-03-31,823485,home,Andrew Painter,691725,final_in_scope,,3.52,4.5,0.2790,0.7210,8,OVER,0,-4.48,OVER,0,-4.48,MATCH,,SIDE_MATCH_KS_EQUAL,691725,8
90123,2250067,2026-03-31,823888,home,Janson Junk,676083,final_in_scope,,2.95,3.5,0.3424,0.6576,5,OVER,0,-2.05,OVER,0,-2.05,MATCH,,SIDE_MATCH_KS_EQUAL,676083,5
90122,2250067,2026-03-31,823888,away,Erick Fedde,607200,final_in_scope,,1.93,3.5,0.1303,0.8500,4,OVER,0,-2.07,OVER,0,-2.07,MATCH,,SIDE_MATCH_KS_EQUAL,607200,4
90127,2250068,2026-03-31,822836,home,Max Scherzer,453286,final_in_scope,,4.69,5.5,0.3298,0.6702,4,UNDER,1,0.69,UNDER,1,0.69,MATCH,,SIDE_MATCH_KS_EQUAL,453286,4
90126,2250068,2026-03-31,822836,away,Ryan Feltner,663372,final_in_scope,,2.23,3.5,0.1867,0.8133,4,OVER,0,-1.77,OVER,0,-1.77,MATCH,,SIDE_MATCH_KS_EQUAL,663372,4
90128,2250069,2026-03-31,824942,away,Aaron Civale,650644,final_in_scope,,2.49,3.5,0.2412,0.7588,3,UNDER,1,-0.51,UNDER,1,-0.51,MATCH,,SIDE_MATCH_KS_EQUAL,650644,3
