ledgerId,refId,modelVersion,gameId,gameDate,issues
35764,8769,wf-19288f01-p1,2250234,2026-04-14,null_core_field
35783,8928,wf-19288f01-p1,2250235,2026-04-14,null_core_field
35784,8929,wf-19288f01-p1,2250235,2026-04-14,null_core_field
35843,9408,wf-19288f01-p1,2250238,2026-04-14,null_core_field
35844,9409,wf-19288f01-p1,2250238,2026-04-14,null_core_field
35903,9888,wf-19288f01-p1,2250241,2026-04-14,null_core_field
35904,9889,wf-19288f01-p1,2250241,2026-04-14,null_core_field
35983,10528,wf-19288f01-p1,2250245,2026-04-14,null_core_field
36003,33728,wf-19288f01-p1,2252517,2026-04-14,null_core_field
36004,33729,wf-19288f01-p1,2252517,2026-04-14,null_core_field
36084,11169,wf-19288f01-p1,2250249,2026-04-15,null_core_field
36104,11329,wf-19288f01-p1,2250250,2026-04-15,null_core_field
36183,11908,wf-19288f01-p1,2250254,2026-04-15,null_core_field
36323,12688,wf-19288f01-p1,2250260,2026-04-16,null_core_field
36383,13111,wf-19288f01-p1,2250263,2026-04-16,null_core_field
36424,13409,wf-19288f01-p1,2250265,2026-04-16,null_core_field
36483,13828,wf-19288f01-p1,2250268,2026-04-16,null_core_field
36563,14348,wf-19288f01-p1,2250272,2026-04-17,null_core_field
36684,15189,wf-19288f01-p1,2250278,2026-04-17,null_core_field
36803,33808,wf-19288f01-p1,2252570,2026-04-17,null_core_field
36824,16029,wf-19288f01-p1,2250284,2026-04-18,null_core_field
36843,16168,wf-19288f01-p1,2250285,2026-04-18,null_core_field
36844,16169,wf-19288f01-p1,2250285,2026-04-18,null_core_field
36863,16308,wf-19288f01-p1,2250286,2026-04-18,null_core_field
36864,16309,wf-19288f01-p1,2250286,2026-04-18,null_core_field
36883,16448,wf-19288f01-p1,2250287,2026-04-18,null_core_field
36884,16449,wf-19288f01-p1,2250287,2026-04-18,null_core_field
36903,16588,wf-19288f01-p1,2250288,2026-04-18,null_core_field
36904,16589,wf-19288f01-p1,2250288,2026-04-18,null_core_field
36923,16728,wf-19288f01-p1,2250289,2026-04-18,null_core_field
36924,16729,wf-19288f01-p1,2250289,2026-04-18,null_core_field
36943,16868,wf-19288f01-p1,2250290,2026-04-18,null_core_field
36944,16869,wf-19288f01-p1,2250290,2026-04-18,null_core_field
36963,17008,wf-19288f01-p1,2250291,2026-04-18,null_core_field
36964,17009,wf-19288f01-p1,2250291,2026-04-18,null_core_field
36983,17148,wf-19288f01-p1,2250292,2026-04-18,null_core_field
36984,17149,wf-19288f01-p1,2250292,2026-04-18,null_core_field
37003,17288,wf-19288f01-p1,2250293,2026-04-18,null_core_field
37004,17289,wf-19288f01-p1,2250293,2026-04-18,null_core_field
37023,17428,wf-19288f01-p1,2250294,2026-04-18,null_core_field
37024,17429,wf-19288f01-p1,2250294,2026-04-18,null_core_field
37043,17568,wf-19288f01-p1,2250295,2026-04-18,null_core_field
37044,17569,wf-19288f01-p1,2250295,2026-04-18,null_core_field
37063,17703,wf-19288f01-p1,2250296,2026-04-18,null_core_field
37064,17705,wf-19288f01-p1,2250296,2026-04-18,null_core_field
37083,17829,wf-19288f01-p1,2250297,2026-04-18,null_core_field
37084,17831,wf-19288f01-p1,2250297,2026-04-18,null_core_field
37103,33848,wf-19288f01-p1,2252585,2026-04-18,null_core_field
37104,33849,wf-19288f01-p1,2252585,2026-04-18,null_core_field
37144,18109,wf-19288f01-p1,2250299,2026-04-19,null_core_field
37283,19088,wf-19288f01-p1,2250306,2026-04-19,null_core_field
37344,19509,wf-19288f01-p1,2250309,2026-04-19,null_core_field
37623,21328,wf-19288f01-p1,2250322,2026-04-21,null_core_field
37624,21329,wf-19288f01-p1,2250322,2026-04-21,null_core_field
37643,21470,wf-19288f01-p1,2250323,2026-04-21,null_core_field
37644,21472,wf-19288f01-p1,2250323,2026-04-21,null_core_field
37663,21611,wf-19288f01-p1,2250324,2026-04-21,null_core_field
37664,21613,wf-19288f01-p1,2250324,2026-04-21,null_core_field
37683,21755,wf-19288f01-p1,2250325,2026-04-21,null_core_field
37684,21757,wf-19288f01-p1,2250325,2026-04-21,null_core_field
37703,21899,wf-19288f01-p1,2250326,2026-04-21,null_core_field
37704,21901,wf-19288f01-p1,2250326,2026-04-21,null_core_field
37723,22046,wf-19288f01-p1,2250327,2026-04-21,null_core_field
37724,22048,wf-19288f01-p1,2250327,2026-04-21,null_core_field
37743,22188,wf-19288f01-p1,2250328,2026-04-21,null_core_field
37744,22189,wf-19288f01-p1,2250328,2026-04-21,null_core_field
37763,22328,wf-19288f01-p1,2250329,2026-04-21,null_core_field
37764,22329,wf-19288f01-p1,2250329,2026-04-21,null_core_field
37783,22468,wf-19288f01-p1,2250330,2026-04-21,null_core_field
37784,22469,wf-19288f01-p1,2250330,2026-04-21,null_core_field
37803,22608,wf-19288f01-p1,2250331,2026-04-21,null_core_field
37804,22609,wf-19288f01-p1,2250331,2026-04-21,null_core_field
37823,22748,wf-19288f01-p1,2250332,2026-04-21,null_core_field
37824,22749,wf-19288f01-p1,2250332,2026-04-21,null_core_field
37843,22888,wf-19288f01-p1,2250333,2026-04-21,null_core_field
37844,22889,wf-19288f01-p1,2250333,2026-04-21,null_core_field
37863,23028,wf-19288f01-p1,2250334,2026-04-21,null_core_field
37864,23029,wf-19288f01-p1,2250334,2026-04-21,null_core_field
37883,23168,wf-19288f01-p1,2250335,2026-04-21,null_core_field
37884,23169,wf-19288f01-p1,2250335,2026-04-21,null_core_field
37903,33928,wf-19288f01-p1,2252625,2026-04-21,null_core_field
37904,33929,wf-19288f01-p1,2252625,2026-04-21,null_core_field
38043,24148,wf-19288f01-p1,2250342,2026-04-22,null_core_field
38063,24288,wf-19288f01-p1,2250343,2026-04-22,null_core_field
38103,24548,wf-19288f01-p1,2250345,2026-04-22,null_core_field
38123,24694,wf-19288f01-p1,2250346,2026-04-22,null_core_field
38183,25112,wf-19288f01-p1,2250349,2026-04-22,null_core_field
38203,33968,wf-19288f01-p1,2252640,2026-04-22,null_core_field
38223,25257,wf-19288f01-p1,2250350,2026-04-23,null_core_field
38543,27328,wf-19288f01-p1,2250365,2026-04-24,null_core_field
38723,28575,wf-19288f01-p1,2250374,2026-04-25,null_core_field
38724,28577,wf-19288f01-p1,2250374,2026-04-25,null_core_field
38843,29568,wf-19288f01-p1,2250381,2026-04-25,null_core_field
38863,29708,wf-19288f01-p1,2250382,2026-04-25,null_core_field
