dimension,tier,series,n,meanErr,ci95,tstat,sd,mae,medianErr,pctUnderProj,meanActualKs,meanProj
ump_kmod,2: 0.97-1.03,live,1166,-0.9832,0.1485,-12.97,2.5877,2.1619,-0.82,0.6295,4.783,3.8
ump_kmod,2: 0.97-1.03,p1,1256,0.6912,0.1531,8.85,2.7676,2.2189,0.5251,0.41,4.735,5.426
ump_kmod,2: 0.97-1.03,p2,1256,0.1069,0.1488,1.41,2.6911,2.1003,-0.0426,0.5064,4.735,4.842
ump_kmod,3: >=1.03,live,349,-1.1091,0.2896,-7.51,2.76,2.3563,-1.12,0.6762,4.946,3.836
ump_kmod,3: >=1.03,p1,374,0.4726,0.271,3.42,2.6737,2.1294,0.4545,0.4011,4.858,5.331
ump_kmod,3: >=1.03,p2,374,-0.0853,0.2654,-0.63,2.6182,2.0409,-0.0604,0.5187,4.858,4.773
ump_kmod,unknown,live,852,-1.0544,0.1737,-11.9,2.5869,2.1847,-0.865,0.6444,4.881,3.827
ump_kmod,unknown,p1,1116,0.7028,0.1703,8.09,2.9025,2.3421,0.7281,0.3925,4.784,5.487
ump_kmod,unknown,p2,1116,0.2329,0.1681,2.72,2.8652,2.2308,0.2058,0.4615,4.784,5.017
days_rest,1: <=4,live,13,1.1346,1.253,1.77,2.305,2.1485,1.79,0.2308,2.154,3.288
days_rest,1: <=4,p1,15,1.5784,1.2123,2.55,2.3955,2.0985,0.762,0.2,2.133,3.712
days_rest,1: <=4,p2,15,1.2428,1.2579,1.94,2.4856,1.9701,0.3711,0.2667,2.133,3.376
days_rest,2: 5,live,769,-1.2148,0.1829,-13.02,2.5884,2.2474,-1.15,0.6736,5.031,3.816
days_rest,2: 5,p1,855,0.4336,0.1791,4.75,2.6714,2.1157,0.3426,0.4421,5.008,5.442
days_rest,2: 5,p2,855,-0.1093,0.1763,-1.22,2.6295,2.0531,-0.1618,0.5322,5.008,4.899
days_rest,3: 6,live,1116,-1.0405,0.1556,-13.1,2.6528,2.2464,-0.87,0.6496,4.912,3.872
days_rest,3: 6,p1,1280,0.6103,0.1523,7.85,2.7806,2.2502,0.5635,0.4086,4.862,5.473
days_rest,3: 6,p2,1280,0.049,0.1487,0.65,2.7136,2.1225,0.0141,0.4977,4.862,4.912
days_rest,4: 7-10,live,376,-1.3939,0.2568,-10.64,2.5406,2.2614,-1.225,0.7048,5.266,3.872
days_rest,4: 7-10,p1,416,0.4028,0.2696,2.93,2.8056,2.1914,0.2033,0.4447,5.228,5.631
days_rest,4: 7-10,p2,416,-0.2419,0.2618,-1.81,2.7242,2.1203,-0.37,0.5553,5.228,4.987
days_rest,5: >10,live,198,-0.3425,0.351,-1.91,2.5198,2.0185,-0.275,0.5354,3.712,3.37
days_rest,5: >10,p1,230,0.5461,0.3173,3.37,2.4551,1.9899,0.3961,0.4217,3.622,4.168
days_rest,5: >10,p2,230,0.0266,0.3022,0.17,2.3383,1.8739,0.0025,0.5,3.622,3.648
days_rest,no-prior-2026,live,222,-0.2925,0.3164,-1.81,2.405,1.8565,-0.095,0.527,4.099,3.807
days_rest,no-prior-2026,p1,314,1.7782,0.359,9.71,3.2455,2.8741,1.6409,0.2707,3.968,5.746
days_rest,no-prior-2026,p2,314,1.5122,0.3467,8.55,3.1342,2.6822,1.3778,0.3121,3.968,5.48
starter_outs,1: <=9 (<=3 IP),live,247,1.5953,0.2242,13.94,1.798,1.9496,1.57,0.1862,1.947,3.543
starter_outs,1: <=9 (<=3 IP),p1,335,2.9843,0.2761,21.19,2.578,3.1568,2.65,0.0866,1.845,4.829
starter_outs,1: <=9 (<=3 IP),p2,335,2.501,0.2657,18.45,2.4811,2.7315,2.1753,0.1284,1.845,4.346
starter_outs,2: 10-14,live,556,-0.1751,0.1784,-1.92,2.1468,1.6828,-0.22,0.536,4.049,3.874
starter_outs,2: 10-14,p1,628,0.8485,0.194,8.57,2.4806,2.0026,0.6101,0.3885,4.073,4.922
starter_outs,2: 10-14,p2,628,0.3827,0.1891,3.97,2.4173,1.8743,0.0954,0.4777,4.073,4.456
starter_outs,3: 15-17 (5-6 IP),live,879,-1.1863,0.1517,-15.33,2.2948,2.0539,-1.2,0.7031,4.958,3.772
starter_outs,3: 15-17 (5-6 IP),p1,1005,0.4008,0.1637,4.8,2.6481,2.1032,0.2906,0.4517,4.87,5.27
starter_outs,3: 15-17 (5-6 IP),p2,1005,-0.0987,0.1591,-1.22,2.5731,2.0153,-0.1671,0.5403,4.87,4.771
starter_outs,4: 18-20 (6-7 IP),live,707,-1.6621,0.1902,-17.12,2.5807,2.4427,-1.64,0.7341,5.492,3.83
starter_outs,4: 18-20 (6-7 IP),p1,802,0.26,0.1913,2.66,2.7637,2.2074,0.2488,0.4601,5.532,5.792
starter_outs,4: 18-20 (6-7 IP),p2,802,-0.3187,0.186,-3.36,2.6882,2.1587,-0.2933,0.5424,5.532,5.214
starter_outs,5: >=21 (7+ IP),live,305,-2.6767,0.3179,-16.5,2.8324,3.1992,-2.68,0.8295,6.659,3.982
starter_outs,5: >=21 (7+ IP),p1,340,-0.3436,0.31,-2.17,2.9163,2.3331,-0.1424,0.5147,6.721,6.377
starter_outs,5: >=21 (7+ IP),p2,340,-1.0442,0.3049,-6.71,2.8686,2.3769,-0.8904,0.6441,6.721,5.676
verdict_live,EDGE,live,26,1.8342,0.8721,4.12,2.2688,2.3404,1.765,0.1538,4.538,6.373
verdict_live,EDGE,p1,26,1.455,1.0238,2.79,2.6635,2.5416,1.5433,0.3846,4.538,5.993
verdict_live,EDGE,p2,26,1.455,1.0238,2.79,2.6635,2.5416,1.5433,0.3846,4.538,5.993
verdict_live,EDGE OVER,live,2,2.405,2.2638,2.08,1.6334,2.405,2.405,0.0,3.5,5.905
verdict_live,EDGE OVER,p1,2,1.1281,4.4404,0.5,3.2039,2.2655,1.1281,0.5,3.5,4.628
verdict_live,EDGE OVER,p2,2,1.1281,4.4404,0.5,3.2039,2.2655,1.1281,0.5,3.5,4.628
verdict_live,EDGE UNDER,live,2,-3.82,2.8616,-2.62,2.0648,3.82,-3.82,1.0,9.0,5.18
verdict_live,EDGE UNDER,p1,2,-2.2313,3.0452,-1.44,2.1972,2.2313,-2.2313,1.0,9.0,6.769
