gameId,side,gameDate,month,awayTeam,homeTeam,mlbGamePk,oppTeam,starterId,starterHand,starterKs,starterOuts,liveRowId,livePitcherName,liveMlbamId,liveStarterMismatch,kProj,bookLine,lineIsInteger,pOver,pUnder,anNoVigOverPct,verdict,bestSide,edgeOver,edgeUnder,liveStoredActualKs,liveStoredResult,liveStoredModelError,liveStoredModelCorrect,liveTruthKs,liveTruthSource,liveSignedError,p1MlbamId,p1ProjValue,p1POver,p1Line,p1SignedError,p2ProjValue,p2POver,p2Line,p2SignedError,asofK9,asofPriorStarts,daysRest,asofIpPerStart,oppAsofK27,oppAsofPriorGames,snapK9,snapXfip,snapHand,snapJoinVia,oppSplitK9VsHand,umpire,umpKMod
2250026,away,2026-03-28,2026-03,ATH,TOR,822838,TOR,605488,L,2,16,90047,Jeffrey Springs,605488,0,2.16,3.5,0,0.1738,0.8262,0.5268,UNDER,UNDER,-0.353,0.353,2,UNDER,0.16,1,2.0,substrate,0.16000000000000014,605488,4.3441,0.63072,3.5,2.3441,4.3441,0.63072,3.5,2.3441,,0,,,5.4,1,7.54,4.21534,L,id,6.4132,"Umpire: 
                                                                                    Tripp Gibson  9.2 R/G  17.4 K/G",
2250026,home,2026-03-28,2026-03,ATH,TOR,822838,ATH,656302,R,12,16,90048,Dylan Cease,656302,0,6.11,6.5,0,0.4107,0.5893,0.8091,UNDER,UNDER,-0.3984,0.3984,12,OVER,-5.89,0,12.0,substrate,-5.89,656302,7.9599,0.6817,6.5,-4.0401,7.9599,0.6817,6.5,-4.0401,,0,,,16.5,1,13.24,2.48097,R,id,6.7302,"Umpire: 
                                                                                    Tripp Gibson  9.2 R/G  17.4 K/G",
2250027,away,2026-03-28,2026-03,MIN,BAL,824862,BAL,671737,R,9,13,90050,Taj Bradley,671737,0,3.73,4.5,0,0.3178,0.6822,0.2424,OVER,OVER,0.0754,-0.0754,9,OVER,-5.27,0,9.0,substrate,-5.27,671737,4.4812,0.46433,4.5,-4.5188,4.4812,0.46432,4.5,-4.5188,,0,,,11.8125,1,10.13,3.9422,R,id,7.3279,"Umpire: 
                                                                                    Brian O'Nora  8.9 R/G  17.0 K/G",
2250027,home,2026-03-28,2026-03,MIN,BAL,824862,MIN,680694,R,4,14,90049,Kyle Bradish,680694,0,7.49,6.5,0,0.6209,0.3791,0.4222,OVER,OVER,0.1987,-0.1987,4,UNDER,3.49,0,4.0,substrate,3.49,680694,10.7399,0.85,6.5,6.7399000000000004,10.7399,0.91005,6.5,6.7399000000000004,,0,,,6.428571428571428,1,8.74,3.96801,R,id,6.489,"Umpire: 
                                                                                    Brian O'Nora  8.9 R/G  17.0 K/G",
2250028,away,2026-03-28,2026-03,TEX,PHI,823488,PHI,656641,L,3,12,90052,Jacob deGrom,594798,1,6.04,6.5,0,0.4004,0.5996,0.5448,UNDER,UNDER,-0.1444,0.1444,3,UNDER,3.04,1,3.0,live_actualKs,3.04,656641,6.9543,,,3.9543,6.9543,,,3.9543,,0,,,13.5,1,9.19,3.80765,L,id,7.3681,"Umpire: 
                                                                                    D.J. Reyburn  9.0 R/G  17.4 K/G",
2250028,home,2026-03-28,2026-03,TEX,PHI,823488,TEX,605400,R,7,15,90051,Aaron Nola,605400,0,4.75,5.5,0,0.3395,0.6605,0.535,UNDER,UNDER,-0.1955,0.1955,7,OVER,-2.25,0,7.0,substrate,-2.25,605400,5.1559,0.41138,5.5,-1.8441,5.1559,0.41137,5.5,-1.8441,,0,,,15.0,1,9.3,3.59327,R,id,6.4973,"Umpire: 
                                                                                    D.J. Reyburn  9.0 R/G  17.4 K/G",
2250029,away,2026-03-28,2026-03,BOS,CIN,824540,CIN,543243,R,5,12,90053,Sonny Gray,543243,0,7.47,6.5,0,0.6177,0.3823,0.4399,OVER,OVER,0.1778,-0.1778,5,UNDER,2.47,0,5.0,substrate,2.4699999999999998,543243,7.7526,0.65548,6.5,2.7526,7.7526,0.65549,6.5,2.7526,,0,,,12.0,1,7.9,4.58873,R,id,7.46,"Umpire: 
                                                                                    CB Bucknor  8.6 R/G  17.6 K/G",
2250029,home,2026-03-28,2026-03,BOS,CIN,824540,BOS,663903,R,5,12,90054,Brady Singer,663903,0,3.63,4.5,0,0.2996,0.7004,0.5851,UNDER,UNDER,-0.2855,0.2855,5,OVER,-1.37,0,5.0,substrate,-1.37,663903,5.6436,0.66441,4.5,0.6436000000000002,5.6436,0.66442,4.5,0.6436000000000002,,0,,,6.0,1,7.66,4.5684,R,id,6.742,"Umpire: 
                                                                                    CB Bucknor  8.6 R/G  17.6 K/G",
2250030,away,2026-03-28,2026-03,PIT,NYM,823651,NYM,656605,R,3,18,90058,Mitch Keller,656605,0,3.47,4.5,0,0.2691,0.7309,0.4511,UNDER,UNDER,-0.182,0.182,3,UNDER,0.47,1,3.0,substrate,0.4700000000000002,656605,4.9786,0.55575,4.5,1.9786000000000001,4.9786,0.55574,4.5,1.9786000000000001,,0,,,13.5,1,6.9,3.95713,R,id,6.6838,"Umpire: 
                                                                                    Quinn Wolcott  9.4 R/G  16.9 K/G",
2250030,home,2026-03-28,2026-03,PIT,NYM,823651,PIT,656849,L,3,16,90057,David Peterson,656849,0,4.7,4.5,0,0.5048,0.4952,0.5128,PASS,,-0.008,0.008,3,UNDER,1.7,0,3.0,substrate,1.7000000000000002,656849,6.2626,0.74856,4.5,3.2626,6.2626,0.74856,4.5,3.2626,,0,,,12.6,1,7.48,,,id,7.7179,"Umpire: 
                                                                                    Quinn Wolcott  9.4 R/G  16.9 K/G",
