gameId,gameDate,mlbGamePk,awayTeam,homeTeam,gameStatus
2250364,2026-04-24,824124,LAA,KC,final
2250365,2026-04-24,824611,WSH,CWS,final
2250366,2026-04-24,823800,PIT,MIL,final
2250367,2026-04-24,822909,ATH,TEX,final
2250368,2026-04-24,824204,NYY,HOU,final
2250369,2026-04-24,823069,SEA,STL,final
2250370,2026-04-24,823962,CHC,LAD,final
2250371,2026-04-24,823232,MIA,SF,final
2250372,2026-04-25,823070,SEA,STL,final
2250373,2026-04-25,822826,CLE,TOR,final
2250374,2026-04-25,824851,BOS,BAL,final
2250375,2026-04-25,823229,MIA,SF,final
2250377,2026-04-25,822989,MIN,TB,final
2250378,2026-04-25,824613,WSH,CWS,final
2250379,2026-04-25,822910,ATH,TEX,final
2250380,2026-04-25,824121,LAA,KC,final
2250381,2026-04-25,824203,NYY,HOU,final
2250382,2026-04-25,823799,PIT,MIL,final
2250383,2026-04-25,824527,DET,CIN,final
2250384,2026-04-25,823960,CHC,LAD,final
2250385,2026-04-25,824933,PHI,ATL,final
2252672,2026-04-25,825093,SD,ARI,final
2250376,2026-04-26,823637,COL,NYM,final
2250386,2026-04-26,824852,BOS,BAL,final
2250387,2026-04-26,824934,PHI,ATL,final
2250388,2026-04-26,822824,CLE,TOR,final
2250389,2026-04-26,824528,DET,CIN,final
2250390,2026-04-26,823635,COL,NYM,final
2250391,2026-04-26,822991,MIN,TB,final
2250392,2026-04-26,824612,WSH,CWS,final
2250393,2026-04-26,824202,NYY,HOU,final
2250394,2026-04-26,823797,PIT,MIL,final
2250395,2026-04-26,823068,SEA,STL,final
2250396,2026-04-26,822911,ATH,TEX,final
2250397,2026-04-26,823230,MIA,SF,final
2250398,2026-04-26,823959,CHC,LAD,final
2250399,2026-04-26,824122,LAA,KC,final
2252691,2026-04-26,825094,SD,ARI,final
2250400,2026-04-27,824446,TB,CLE,final
2250401,2026-04-27,823395,STL,PIT,final
2250402,2026-04-27,822825,BOS,TOR,final
2250403,2026-04-27,823719,SEA,MIN,final
2250404,2026-04-27,824609,LAA,CWS,final
2250405,2026-04-27,822906,NYY,TEX,final
2250406,2026-04-27,823311,CHC,SD,final
2250407,2026-04-27,823961,MIA,LAD,final
2250408,2026-04-28,824447,TB,CLE,final
2250409,2026-04-28,824849,HOU,BAL,final
2250410,2026-04-28,824526,COL,CIN,final
2250411,2026-04-28,823390,STL,PIT,final
2250412,2026-04-28,823473,SF,PHI,final
2250413,2026-04-28,822823,BOS,TOR,final
2250414,2026-04-28,823636,WSH,NYM,final
2250415,2026-04-28,824931,DET,ATL,final
2250416,2026-04-28,823716,SEA,MIN,final
2250417,2026-04-28,824610,LAA,CWS,final
2250418,2026-04-28,822908,NYY,TEX,final
2250419,2026-04-28,825017,KC,ATH,final
2250420,2026-04-28,823310,CHC,SD,final
2250421,2026-04-28,823956,MIA,LAD,final
2252713,2026-04-28,823798,ARI,MIL,final
2250422,2026-04-29,824445,TB,CLE,final
2250423,2026-04-29,824608,LAA,CWS,final
2250424,2026-04-29,823717,SEA,MIN,final
2250425,2026-04-29,822907,NYY,TEX,final
2250426,2026-04-29,822821,BOS,TOR,final
2250427,2026-04-29,823958,MIA,LAD,final
2250428,2026-04-29,823312,CHC,SD,final
2250430,2026-04-29,824525,COL,CIN,final
2250431,2026-04-29,823392,STL,PIT,final
2250433,2026-04-29,823633,WSH,NYM,final
2250434,2026-04-29,824930,DET,ATL,final
2250435,2026-04-29,825015,KC,ATH,final
2252731,2026-04-29,823796,ARI,MIL,final
2250436,2026-04-30,824929,DET,ATL,final
2250437,2026-04-30,824848,HOU,BAL,final
2250438,2026-04-30,823391,STL,PIT,final
2250439,2026-04-30,824524,COL,CIN,final
2250440,2026-04-30,823472,SF,PHI,final
2250441,2026-04-30,823634,WSH,NYM,final
2250442,2026-04-30,825016,KC,ATH,final
2250443,2026-04-30,823714,TOR,MIN,final
2252739,2026-04-30,823795,ARI,MIL,final
3270003,2026-04-30,824850,HOU,BAL,final
3270004,2026-04-30,823471,SF,PHI,final
2250444,2026-05-01,824287,TEX,DET,final
2250445,2026-05-01,823389,CIN,PIT,final
2250446,2026-05-01,822744,MIL,WSH,final
2250447,2026-05-01,823557,BAL,NYY,final
2250448,2026-05-01,824772,HOU,BOS,final
2250449,2026-05-01,822990,SF,TB,final
2250450,2026-05-01,823877,PHI,MIA,final
2250451,2026-05-01,823713,TOR,MIN,final
2250452,2026-05-01,823066,LAD,STL,final
2250453,2026-05-01,824366,ATL,COL,final
2250454,2026-05-01,824041,NYM,LAA,final
2250455,2026-05-01,825012,CLE,ATH,final
2250456,2026-05-01,823309,CWS,SD,final
2250457,2026-05-01,823146,KC,SEA,final
2252742,2026-05-01,824686,ARI,CHC,final
2250458,2026-05-02,823554,BAL,NYY,final
2250459,2026-05-02,823715,TOR,MIN,final
2250460,2026-05-02,825014,CLE,ATH,final
2250461,2026-05-02,823388,CIN,PIT,final
2250462,2026-05-02,822746,MIL,WSH,final
2250463,2026-05-02,824771,HOU,BOS,final
2250464,2026-05-02,823876,PHI,MIA,final
2250465,2026-05-02,822988,SF,TB,final
2250466,2026-05-02,823067,LAD,STL,final
2250467,2026-05-02,824284,TEX,DET,final
2250468,2026-05-02,824365,ATL,COL,final
2250469,2026-05-02,823308,CWS,SD,final
2250470,2026-05-02,824042,NYM,LAA,final
2250471,2026-05-02,823144,KC,SEA,final
2252759,2026-05-02,824685,ARI,CHC,final
2250472,2026-05-03,823711,TOR,MIN,final
2250473,2026-05-03,824769,HOU,BOS,final
2250474,2026-05-03,823387,CIN,PIT,final
2250475,2026-05-03,823555,BAL,NYY,final
2250476,2026-05-03,822742,MIL,WSH,final
2250477,2026-05-03,822987,SF,TB,final
2250478,2026-05-03,823875,PHI,MIA,final
2250479,2026-05-03,823065,LAD,STL,final
2250480,2026-05-03,824364,ATL,COL,final
2250481,2026-05-03,825013,CLE,ATH,final
2250482,2026-05-03,824043,NYM,LAA,final
2250483,2026-05-03,823145,KC,SEA,final
2250484,2026-05-03,823307,CWS,SD,final
2250485,2026-05-03,824285,TEX,DET,final
2252780,2026-05-03,824687,ARI,CHC,final
2250486,2026-05-04,824283,BOS,DET,final
2250487,2026-05-04,822984,TOR,TB,final
2250488,2026-05-04,823874,PHI,MIA,final
2250489,2026-05-04,823552,BAL,NYY,final
2250490,2026-05-04,824684,CIN,CHC,final
2250491,2026-05-04,824120,CLE,KC,final
2250492,2026-05-04,823064,MIL,STL,final
2250493,2026-05-04,824201,LAD,HOU,final
2250494,2026-05-04,824363,NYM,COL,final
2250495,2026-05-04,824039,CWS,LAA,final
2250496,2026-05-04,823143,ATL,SEA,final
2250497,2026-05-04,823228,SD,SF,final
2250498,2026-05-05,824281,BOS,DET,final
2250499,2026-05-05,822986,TOR,TB,final
2250500,2026-05-05,823469,ATH,PHI,final
2250501,2026-05-05,823873,BAL,MIA,final
2250502,2026-05-05,822743,MIN,WSH,final
2250503,2026-05-05,823553,TEX,NYY,final
2250504,2026-05-05,824682,CIN,CHC,final
2250505,2026-05-05,824119,CLE,KC,final
2250507,2026-05-05,824200,LAD,HOU,final
2250509,2026-05-05,824040,CWS,LAA,final
2250510,2026-05-05,823142,ATL,SEA,final
2250511,2026-05-05,823227,SD,SF,final
2252811,2026-05-05,825092,PIT,ARI,final
2250512,2026-05-06,822985,TOR,TB,final
2250513,2026-05-06,823063,MIL,STL,final
2250514,2026-05-06,824198,LAD,HOU,final
2250515,2026-05-06,824361,NYM,COL,final
2250516,2026-05-06,823226,SD,SF,final
2250517,2026-05-06,824036,CWS,LAA,final
2250518,2026-05-06,823141,ATL,SEA,final
2250519,2026-05-06,824282,BOS,DET,final
2250520,2026-05-06,823470,ATH,PHI,final
2250521,2026-05-06,823872,BAL,MIA,final
2250522,2026-05-06,822740,MIN,WSH,final
2250523,2026-05-06,823550,TEX,NYY,final
2250524,2026-05-06,824683,CIN,CHC,final
2250525,2026-05-06,824118,CLE,KC,final
2252828,2026-05-06,825091,PIT,ARI,final
2250508,2026-05-07,824362,NYM,COL,final
2250526,2026-05-07,823551,TEX,NYY,final
2250527,2026-05-07,822741,MIN,WSH,final
2250528,2026-05-07,824117,CLE,KC,final
2250529,2026-05-07,824681,CIN,CHC,final
