modelVersion,gameId,gameDate,side,mlbamId,playerName,projValue,line,pOver,mu_used,k_factor,expected_projValue,projValue_abs_diff,expected_pOver,abs_diff,check
wf-19288f01-p1,2250051,2026-03-30,home,605135,Chris Bassitt,5.7564,4.5,0.68101,5.7564,,,,0.681015,5.45e-06,PASS
wf-19288f01-p1,2250052,2026-03-30,away,677952,Braxton Ashcraft,10.1482,,,,,,,,,
wf-19288f01-p1,2250052,2026-03-30,home,695505,Chase Burns,11.6805,7.5,0.85000,11.6805,,,,0.85,0.0,PASS
wf-19288f01-p1,2250053,2026-03-30,away,656492,Foster Griffin,5.0060,,,,,,,,,
wf-19288f01-p1,2250053,2026-03-30,home,592836,Taijuan Walker,3.2642,,,,,,,,,
wf-19288f01-p1,2250054,2026-03-30,away,663436,Davis Martin,3.5515,3.5,0.47443,3.5515,,,,0.474438,8.32e-06,PASS
wf-19288f01-p1,2250054,2026-03-30,home,663978,Chris Paddack,3.3343,3.5,0.42723,3.3343,,,,0.427227,3.13e-06,PASS
wf-19288f01-p1,2250055,2026-03-30,away,608372,Tomoyuki Sugano,2.6255,2.5,0.48796,2.6255,,,,0.487953,6.94e-06,PASS
wf-19288f01-p1,2250055,2026-03-30,home,664074,Cody Ponce,4.6387,5.5,0.32093,4.6387,,,,0.320928,1.91e-06,PASS
wf-19288f01-p1,2250056,2026-03-30,away,682052,Jacob Lopez,6.5462,5.5,0.63764,6.5462,,,,0.637639,6e-07,PASS
wf-19288f01-p1,2250056,2026-03-30,home,693821,Bryce Elder,4.5378,4.5,0.47505,4.5378,,,,0.475056,5.77e-06,PASS
wf-19288f01-p1,2250057,2026-03-30,away,696270,Ryan Johnson,4.2828,4.5,0.42624,4.2828,,,,0.426235,4.56e-06,PASS
wf-19288f01-p1,2250057,2026-03-30,home,665795,Edward Cabrera,6.5035,6.5,0.47403,6.5035,,,,0.474027,2.51e-06,PASS
wf-19288f01-p1,2250058,2026-03-30,away,607259,Nick Martinez,4.4136,3.5,0.64292,4.4136,,,,0.642918,2.35e-06,PASS
wf-19288f01-p1,2250058,2026-03-30,home,690986,Kyle Harrison,6.4904,4.5,0.77525,6.4904,,,,0.775253,2.71e-06,PASS
wf-19288f01-p1,2250059,2026-03-30,away,605280,Clay Holmes,4.4481,3.5,0.64888,4.4481,,,,0.648872,8e-06,PASS
wf-19288f01-p1,2250059,2026-03-30,home,681517,Kyle Leahy,8.6325,,,,,,,,,
wf-19288f01-p1,2250060,2026-03-30,away,624133,Ranger Suarez,7.2467,4.5,0.84835,7.2467,,,,0.848348,1.91e-06,PASS
wf-19288f01-p1,2250060,2026-03-30,home,621121,Lance McCullers Jr.,3.6111,4.5,0.29569,3.6111,,,,0.295685,4.59e-06,PASS
wf-19288f01-p1,2250061,2026-03-30,away,694738,Landen Roupp,4.9220,4.5,0.54571,4.922,,,,0.545715,5.21e-06,PASS
wf-19288f01-p1,2250061,2026-03-30,home,621111,Walker Buehler,2.8216,3.5,0.31288,2.8216,,,,0.312872,8.22e-06,PASS
wf-19288f01-p1,2250062,2026-03-30,away,677960,Ryan Weathers,4.3892,5.5,0.27826,4.3892,,,,0.278268,7.57e-06,PASS
wf-19288f01-p1,2250062,2026-03-30,home,622491,Luis Castillo,5.4798,5.5,0.46761,5.4798,,,,0.467616,5.88e-06,PASS
wf-19288f01-p1,2250063,2026-03-30,away,800048,Parker Messick,6.9661,4.5,0.82390,6.9661,,,,0.823893,6.7e-06,PASS
wf-19288f01-p1,2250063,2026-03-30,home,808963,Roki Sasaki,2.6008,3.5,0.26418,2.6008,,,,0.264172,7.58e-06,PASS
wf-19288f01-p1,2252334,2026-03-30,away,434378,Justin Verlander,5.5233,3.5,0.80093,5.5233,,,,0.800927,2.73e-06,PASS
