gameId,gameDate,calib_month,T_f5,league_env_mult,f5_total_sd,stored_pF5AwayMl,recomputed_pF5AwayMl,absdiff_pF5AwayMl,MISMATCH_pF5AwayMl,stored_projF5Total,recomputed_projF5Total,absdiff_projF5Total,MISMATCH_projF5Total,stored_pF5Over,recomputed_pF5Over,absdiff_pF5Over,MISMATCH_pF5Over,stored_pF5AwayRl,recomputed_pF5AwayRl,absdiff_pF5AwayRl,MISMATCH_pF5AwayRl
2250109,2026-04-04,2026-04,1.0,1.0,2.9,0.5286,0.5286,0.0,0,5.601,5.601,0.0,0,0.4482,0.4482,0.0,0,0.6692,0.6692,0.0,0
2250110,2026-04-04,2026-04,1.0,1.0,2.9,0.4223,0.4223,0.0,0,5.772,5.772,0.0,0,0.4677,0.4677,0.0,0,0.5616,0.5616,0.0,0
2250111,2026-04-04,2026-04,1.0,1.0,2.9,0.4187,0.4187,0.0,0,5.097,5.097,0.0,0,0.5091,0.5091,0.0,0,0.5702,0.5702,0.0,0
2250112,2026-04-04,2026-04,1.0,1.0,2.9,0.3725,0.3725,0.0,0,4.117,4.117,0.0,0,0.4507,0.4507,0.0,0,0.5476,0.5476,0.0,0
2250113,2026-04-04,2026-04,1.0,1.0,2.9,0.363,0.363,0.0,0,4.148,4.148,0.0,0,0.387,0.387,0.0,0,0.536,0.536,0.0,0
2250114,2026-04-04,2026-04,1.0,1.0,2.9,0.4425,0.4425,0.0,0,4.336,4.336,0.0,0,0.4118,0.4118,0.0,0,0.6103,0.6103,0.0,0
2250115,2026-04-04,2026-04,1.0,1.0,2.9,0.3693,0.3693,0.0,0,4.978,4.978,0.0,0,0.5602,0.5602,0.0,0,0.522,0.522,0.0,0
2250116,2026-04-04,2026-04,1.0,1.0,2.9,0.4963,0.4963,0.0,0,4.819,4.819,0.0,0,0.4742,0.4742,0.0,0,0.6517,0.6517,0.0,0
2250117,2026-04-05,2026-04,1.0,1.0,2.9,0.4632,0.4632,0.0,0,4.084,4.084,0.0,0,0.4461,0.4461,0.0,0,0.6368,0.6368,0.0,0
2250118,2026-04-04,2026-04,1.0,1.0,2.9,0.4214,0.4214,0.0,0,5.606,5.606,0.0,0,0.4505,0.4505,0.0,0,0.5637,0.5637,0.0,0
2250119,2026-04-04,2026-04,1.0,1.0,2.9,0.4442,0.4442,0.0,0,4.591,4.591,0.0,0,0.5139,0.5139,0.0,0,0.6055,0.6055,0.0,0
2250120,2026-04-04,2026-04,1.0,1.0,2.9,0.4805,0.4805,0.0,0,5.219,5.219,0.0,0,0.4044,0.4044,0.0,0,0.6283,0.6283,0.0,0
