rgId,gameId,gameDate,market,source,modelVersion,pick,prob,projValue,line,actual,stored_result,stored_correct,stored_brier,stored_signedError,f5_actual,issues,status
1247,2250177,2026-04-09,f5_ml,live_pregame,live,HOME,0.4084,,+154,TIE,PUSH,,,,0-0,,ok
1254,2250178,2026-04-09,f5_ml,live_pregame,live,HOME,0.4777,,-135,HOME,WIN,1,0.228197,,0-1,,ok
1261,2250179,2026-04-09,f5_ml,live_pregame,live,HOME,0.4232,,+140,AWAY,LOSS,0,0.332698,,1-0,,ok
1268,2250180,2026-04-09,f5_ml,live_pregame,live,HOME,0.3335,,+108,TIE,PUSH,,,,1-1,,ok
1282,2250181,2026-04-10,f5_ml,live_pregame,live,HOME,0.3844,,+120,TIE,PUSH,,,,0-0,,ok
1289,2250182,2026-04-10,f5_ml,live_pregame,live,HOME,0.4264,,+114,HOME,WIN,1,0.181817,,0-2,,ok
1296,2250183,2026-04-10,f5_ml,live_pregame,live,HOME,0.3241,,+156,AWAY,LOSS,0,0.456841,,4-1,,ok
1303,2250184,2026-04-10,f5_ml,live_pregame,live,HOME,0.437,,+104,HOME,WIN,1,0.190969,,4-6,,ok
1310,2250185,2026-04-10,f5_ml,live_pregame,live,HOME,0.3825,,+124,AWAY,LOSS,0,0.381306,,1-0,,ok
1317,2250186,2026-04-10,f5_ml,live_pregame,live,HOME,0.4398,,-118,HOME,WIN,1,0.193424,,2-3,,ok
1324,2250187,2026-04-10,f5_ml,live_pregame,live,HOME,0.3998,,-104,AWAY,LOSS,0,0.36024,,3-1,,ok
1331,2250188,2026-04-10,f5_ml,live_pregame,live,HOME,0.4137,,+108,AWAY,LOSS,0,0.343748,,2-1,,ok
1338,2250189,2026-04-10,f5_ml,live_pregame,live,HOME,0.39,,+154,HOME,WIN,1,0.1521,,0-1,,ok
1345,2250190,2026-04-10,f5_ml,live_pregame,live,HOME,0.3186,,+168,HOME,WIN,1,0.101506,,2-3,,ok
1352,2250191,2026-04-10,f5_ml,live_pregame,live,HOME,0.4885,,-140,HOME,WIN,1,0.238632,,2-3,,ok
1359,2250192,2026-04-10,f5_ml,live_pregame,live,HOME,0.3589,,+134,HOME,WIN,1,0.128809,,0-2,,ok
1366,2250193,2026-04-10,f5_ml,live_pregame,live,HOME,0.3947,,+142,HOME,WIN,1,0.155788,,3-5,,ok
1373,2250194,2026-04-10,f5_ml,live_pregame,live,HOME,0.3268,,-720,AWAY,LOSS,0,0.453198,,4-3,,ok
