gameId,gameDate,matchup,mlbGamePk,actualF5Away,actualF5Home,actualF5Total,lsF5,f5AwayRunLine,f5Total,modelF5AwayWinPct,modelF5HomeWinPct,modelF5AwayRLCoverPct,modelF5AwayScore,modelF5HomeScore,modelF5OverRate,stored_f5MlResult,derived_f5MlResult,f5Ml_status,stored_f5MlCorrect,derived_f5MlCorrect,stored_f5RlResult,derived_f5Rl_probConv,derived_f5Rl_marginConv,f5Rl_status,f5Rl_convDisagree,stored_f5RlCorrect,derived_f5RlCorrect_probConv,derived_f5RlCorrect_marginConv,stored_f5TotalResult,derived_f5TotalResult,f5Total_status,stored_f5TotalCorrect,derived_f5TotalCorrect,stored_brierF5Ml,derived_brierF5Ml_away,derived_brierF5Ml_home,brierF5Ml_status,stored_brierF5Total,derived_brierF5Total,brierF5Total_status,f5BacktestRunAt
2250038,2026-03-29,MIN@BAL 2026-03-29,824864,4,3,7,4-3,0.5,4.5,40.34,44.28,47.62,2.37,2.53,0.43,LOSS,LOSS,match,0,0,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,OVER,OVER,match,0,0,0.355932,0.355932,0.196072,match-away-base,0.3249,0.3249,match,1784992359459
2250039,2026-03-29,TEX@PHI 2026-03-29,823487,5,0,5,5-0,0.5,4.5,35.44,49.46,41.67,2.23,2.82,0.5,LOSS,LOSS,match,0,0,LOSS,LOSS,LOSS,match-both-conv,0,0,0,0,OVER,OVER,match,0,0,0.416799,0.416799,0.244629,match-away-base,0.25,0.25,match,1784992359459
2250040,2026-03-29,KC@ATL 2026-03-29,824944,3,0,3,3-0,0.5,4.5,37.42,47.34,44.05,2.27,2.69,0.49,LOSS,LOSS,match,0,0,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,UNDER,UNDER,match,1,1,0.391626,0.391626,0.224108,match-away-base,0.2401,0.2401,match,1784992359459
2250041,2026-03-29,ATH@TOR 2026-03-29,822837,2,5,7,2-5,0.5,4.5,43.22,41.95,50.74,2.67,2.61,0.47,WIN,WIN,match,1,1,LOSS,LOSS,LOSS,match-both-conv,0,0,0,0,OVER,OVER,match,0,0,0.186797,0.186797,0.33698,match-away-base,0.2809,0.2809,match,1784992359459
2250042,2026-03-29,BOS@CIN 2026-03-29,824538,2,0,2,2-0,-0.5,4.5,46.16,37.67,55.16,2.36,2.04,0.42,LOSS,LOSS,match,0,0,WIN,WIN,LOSS,match-prob-conv,1,1,1,0,UNDER,UNDER,match,1,1,0.289875,0.289875,0.141903,match-away-base,0.1764,0.1764,match,1784992359459
2250043,2026-03-29,PIT@NYM 2026-03-29,823647,2,2,4,2-2,0.5,4.5,34.86,49.14,41.49,1.97,2.53,0.5,PUSH,PUSH,match,,,LOSS,LOSS,LOSS,match-both-conv,0,0,0,0,UNDER,UNDER,match,1,1,,,,both-null,0.25,0.25,match,1784992359459
2250044,2026-03-29,COL@MIA 2026-03-29,823891,3,2,5,3-2,0.5,4.5,43.61,40.5,51.92,2.36,2.24,0.45,LOSS,LOSS,match,0,0,WIN,WIN,WIN,match-both-conv,0,1,1,1,OVER,OVER,match,0,0,0.317983,0.317983,0.164025,match-away-base,0.3025,0.3025,match,1784992359459
2250045,2026-03-29,LAA@HOU 2026-03-29,824215,6,6,12,6-6,0.5,4.5,35.2,50.08,41.32,2.34,2.99,0.48,PUSH,PUSH,match,,,LOSS,LOSS,LOSS,match-both-conv,0,0,0,0,OVER,OVER,match,0,0,,,,both-null,0.2704,0.2704,match,1784992359459
2250046,2026-03-29,CWS@MIL 2026-03-29,823810,7,2,9,7-2,0.5,4.5,34.86,50.32,40.98,2.29,2.96,0.59,LOSS,LOSS,match,0,0,LOSS,LOSS,LOSS,match-both-conv,0,0,0,0,OVER,OVER,match,1,1,0.424322,0.424322,0.25321,match-away-base,0.1681,0.1681,match,1784992359459
2250047,2026-03-29,TB@STL 2026-03-29,823079,6,4,10,6-4,-0.5,4.5,48.23,36.44,56.9,2.68,2.2,0.55,LOSS,LOSS,match,0,0,WIN,WIN,LOSS,match-prob-conv,1,1,1,0,OVER,OVER,match,1,1,0.268013,0.268013,0.132787,match-away-base,0.2025,0.2025,match,1784992359459
