gameId,matchup,f5AwayRunLine,f5Total,graded_rl,graded_total
2251429,WSH@COL 2026-07-21,-0.5,7.5,LOSS,OVER
2251420,PIT@NYY 2026-07-22 G2,1.5,5.5,LOSS,UNDER
2251438,MIN@CLE 2026-07-22,0.5,10.5,WIN,OVER
2251442,SD@ATL 2026-07-22,1.5,4.5,WIN,UNDER
2251446,SD@ATL 2026-07-23,1.5,4.5,WIN,OVER
2251449,KC@DET 2026-07-23,0.5,0.5,LOSS,UNDER
2251450,COL@MIL 2026-07-24,1.5,4.5,LOSS,OVER
2251451,KC@DET 2026-07-24,1.5,3.5,LOSS,UNDER
2251452,CHC@PIT 2026-07-24,0.5,0.5,WIN,OVER
2251454,ATL@BAL 2026-07-24,2.5,4.5,LOSS,OVER
2251455,LAD@NYM 2026-07-24,-0.5,2.5,LOSS,UNDER
2251458,SD@MIA 2026-07-24,1.5,3.5,LOSS,OVER
2251459,HOU@CWS 2026-07-24,2.5,5.5,LOSS,UNDER
2253825,ARI@WSH 2026-07-24,-1.5,5.5,LOSS,UNDER
