gameId,gamePk,gameDate,month,away,home,series,market,prob,proj_value,proj_exp,line,actual_f5_away,actual_f5_home,actual_value,actual_side,pick,pick_alt,result,correct,correct_alt,brier,brier_abs,logloss,signed_error,signed_error_exp,is_push,graded,has_proj,has_line,has_actual,actual_src,quarantined,line_source_match
2250011,824541,2026-03-26,2026-03,BOS,CIN,live,f5_total,0.41,4.5,4.32,3.5,0.0,0.0,0.0,UNDER,UNDER,,WIN,1,,0.16809999999999997,,0.5276327420823718,4.5,4.32,0,1,1,1,1,games,1,0
2250011,824541,2026-03-26,2026-03,BOS,CIN,wf-19288f01-p1,f5_ml,0.4402,,,-180,0.0,0.0,TIE,PUSH,HOME,AWAY,PUSH,,,,0.19377603999999998,,,,1,1,1,1,1,games,0,
2250011,824541,2026-03-26,2026-03,BOS,CIN,wf-19288f01-p1,f5_rl,0.6015,,,-0.5,0.0,0.0,HOME,HOME,AWAY,,LOSS,0,,0.36180225000000005,,0.9200477807518674,,,0,1,1,1,1,games,0,
2250011,824541,2026-03-26,2026-03,BOS,CIN,wf-19288f01-p1,f5_total,0.4517,4.634,4.634,3.5,0.0,0.0,0.0,UNDER,UNDER,,WIN,1,,0.20403289,,0.6009326965721342,4.634,4.634,0,1,1,1,1,games,0,0
2250011,824541,2026-03-26,2026-03,BOS,CIN,wf-19288f01-p2,f5_ml,0.4402,,,-180,0.0,0.0,TIE,PUSH,HOME,AWAY,PUSH,,,,0.19377603999999998,,,,1,1,1,1,1,games,0,
2250011,824541,2026-03-26,2026-03,BOS,CIN,wf-19288f01-p2,f5_rl,0.6015,,,-0.5,0.0,0.0,HOME,HOME,AWAY,,LOSS,0,,0.36180225000000005,,0.9200477807518674,,,0,1,1,1,1,games,0,
2250011,824541,2026-03-26,2026-03,BOS,CIN,wf-19288f01-p2,f5_total,0.4517,4.634,4.634,3.5,0.0,0.0,0.0,UNDER,UNDER,,WIN,1,,0.20403289,,0.6009326965721342,4.634,4.634,0,1,1,1,1,games,0,0
2250012,824218,2026-03-26,2026-03,LAA,HOU,live,f5_ml,0.3862,,,+142,0.0,0.0,TIE,PUSH,HOME,HOME,PUSH,,,,0.14915044,,,,1,1,1,1,1,games,1,
2250012,824218,2026-03-26,2026-03,LAA,HOU,live,f5_rl,0.4608,,,0.5,0.0,0.0,AWAY,AWAY,HOME,,LOSS,0,,0.29073664,,0.7747911696004556,,,0,1,1,1,1,games,1,
2250012,824218,2026-03-26,2026-03,LAA,HOU,live,f5_total,0.42,4.5,4.37,4.5,0.0,0.0,0.0,UNDER,UNDER,,WIN,1,,0.17639999999999997,,0.5447271754416719,4.5,4.37,0,1,1,1,1,games,1,1
