gameId,gameDate,p1_projF5Total,p1_projTotal,ratio_p1,ratio_p2,ratio_p2_minus_p1,outside_engine_bounds
2250179,2026-04-09,4.23,8.05,0.52547,0.52547,0.0,0
2250180,2026-04-09,3.829,7.28,0.52596,0.52596,0.0,0
2250181,2026-04-10,4.364,8.21,0.53155,0.53155,0.0,0
2250182,2026-04-10,4.531,8.5,0.53306,0.53306,0.0,0
2250183,2026-04-10,4.616,8.68,0.5318,0.5318,0.0,0
2250184,2026-04-10,4.636,8.65,0.53595,0.53595,0.0,0
2250185,2026-04-10,4.436,8.33,0.53253,0.53253,0.0,0
2250186,2026-04-10,4.475,8.36,0.53529,0.53529,0.0,0
2250187,2026-04-10,4.689,8.76,0.53527,0.53527,0.0,0
2250188,2026-04-10,4.067,7.73,0.52613,0.52613,0.0,0
2250189,2026-04-10,4.168,7.93,0.5256,0.5256,0.0,0
2250190,2026-04-10,4.668,8.72,0.53532,0.53532,0.0,0
2250191,2026-04-10,4.227,7.92,0.53371,0.53371,0.0,0
2250192,2026-04-10,4.266,7.98,0.53459,0.53459,0.0,0
2250193,2026-04-10,3.452,6.61,0.52224,0.52224,0.0,0
2250194,2026-04-10,4.739,8.85,0.53548,0.53548,0.0,0
2250195,2026-04-11,4.451,8.33,0.53433,0.53433,0.0,0
2250196,2026-04-11,3.707,7.06,0.52507,0.52507,0.0,0
2250197,2026-04-11,4.473,8.38,0.53377,0.53377,0.0,0
2250198,2026-04-11,4.578,8.56,0.53481,0.53481,0.0,0
2250199,2026-04-11,4.627,8.64,0.53553,0.53553,0.0,0
2250200,2026-04-11,3.965,7.59,0.5224,0.5224,0.0,0
2250201,2026-04-11,3.623,6.82,0.53123,0.53123,0.0,0
2250202,2026-04-11,4.189,7.87,0.53227,0.53227,0.0,0
2250203,2026-04-11,5.018,9.35,0.53668,0.53668,0.0,0
2250204,2026-04-11,4.712,8.77,0.53729,0.53729,0.0,0
2250205,2026-04-11,3.927,7.44,0.52782,0.52782,0.0,0
2250206,2026-04-11,4.984,9.28,0.53707,0.53707,0.0,0
2250207,2026-04-11,4.188,7.83,0.53487,0.53487,0.0,0
2250208,2026-04-11,3.794,7.18,0.52841,0.52841,0.0,0
2250209,2026-04-12,5.295,9.84,0.53811,0.53811,0.0,0
2250210,2026-04-12,4.678,8.71,0.53708,0.53708,0.0,0
2250211,2026-04-12,4.053,7.58,0.5347,0.5347,0.0,0
2250212,2026-04-12,4.443,8.3,0.5353,0.5353,0.0,0
2250213,2026-04-12,3.381,6.44,0.525,0.525,0.0,0
2250214,2026-04-12,3.726,6.99,0.53305,0.53305,0.0,0
2250215,2026-04-12,4.396,8.34,0.5271,0.5271,0.0,0
2250216,2026-04-12,4.851,9.02,0.5378,0.5378,0.0,0
2250217,2026-04-12,4.097,7.73,0.53001,0.53001,0.0,0
2250218,2026-04-12,4.341,8.14,0.53329,0.53329,0.0,0
2250219,2026-04-12,4.043,7.63,0.52988,0.52988,0.0,0
