gameId,gameDate,month,awayTeam,homeTeam,mlbGamePk,actualAway,actualHome,fg_actual_source,actualF5Away,actualF5Home,f5_actual_source,book_f5Total,book_f5AwayRunLine,book_f5AwayML,book_bookTotal,live_pushPct,live_pushRaw,live_awayWinPct,live_homeWinPct,live_awayRlCoverPct,p1_pF5AwayMl,p1_projF5Total,p1_pF5Over,p1_pF5AwayRl,p1_projTotal,p1_projAwayScore,p1_projHomeScore,p1_pAwayMl,p1_pOver,p2_pF5AwayMl,p2_projF5Total,p2_pF5Over,p2_pF5AwayRl,p2_projTotal,calib_month,calib_seed,calib_league_env_mult,calib_T_f5,calib_f5_total_sd
2250052,2026-03-30,2026-03,PIT,CIN,824539,0,2,games,0,2,games,4.5,0.5,+108,8.5,0.1631,0.1714,40.66,43.03,48.54,0.44110,4.532,0.43890,0.60360,8.510,4.240,4.270,0.46740,0.44780,0.44110,4.532,0.43890,0.60360,8.510,2026-03,True,1.0,1.0,2.9
2250053,2026-03-30,2026-03,WSH,PHI,823484,13,2,games,7,2,games,5.5,0.5,+122,9.0,0.1429,0.1377,41.81,43.90,48.78,0.42270,5.063,0.44560,0.57440,9.440,4.500,4.930,0.43420,0.48100,0.42270,5.063,0.44560,0.57440,9.440,2026-03,True,1.0,1.0,2.9
2250054,2026-03-30,2026-03,CWS,MIA,823890,9,4,games,8,3,games,4.5,0.5,+106,8.0,0.1575,0.1620,41.68,42.57,49.50,0.42490,4.423,0.42370,0.59030,8.380,4.060,4.320,0.44640,0.47640,0.42490,4.423,0.42370,0.59030,8.380,2026-03,True,1.0,1.0,2.9
2250055,2026-03-30,2026-03,COL,TOR,822834,14,5,games,2,1,games,4.5,1.5,+200,8.0,0.1425,0.1371,35.59,50.15,41.49,0.41800,5.160,0.51640,0.56840,9.660,4.590,5.070,0.43190,0.58190,0.41800,5.160,0.51640,0.56840,9.660,2026-03,True,1.0,1.0,2.9
2250056,2026-03-30,2026-03,ATH,ATL,824943,0,4,games,0,3,games,4.5,0.5,-100,9.0,0.1576,0.1622,43.09,41.15,51.22,0.43680,4.708,0.40190,0.59660,8.830,4.290,4.540,0.44790,0.43100,0.43680,4.708,0.40190,0.59660,8.830,2026-03,True,1.0,1.0,2.9
2250057,2026-03-30,2026-03,LAA,CHC,824702,2,7,games,0,6,games,5.5,0.5,+146,10.0,0.1574,0.1619,39.60,44.65,46.95,0.33030,5.394,0.42510,0.47360,10.070,4.000,6.070,0.31510,0.44930,0.33030,5.394,0.42510,0.47360,10.070,2026-03,True,1.0,1.0,2.9
2250058,2026-03-30,2026-03,TB,MIL,823809,3,2,games,1,0,games,4.5,0.5,+122,8.0,0.1494,0.1484,40.04,45.03,47.17,0.40110,4.460,0.42830,0.56550,8.350,3.880,4.460,0.41710,0.47410,0.40110,4.460,0.42830,0.56550,8.350,2026-03,True,1.0,1.0,2.9
2250059,2026-03-30,2026-03,NYM,STL,823080,4,2,games,2,1,games,4.5,-0.5,-148,9.0,0.1586,0.1639,43.86,40.28,52.15,0.41260,4.206,0.33890,0.58380,7.920,3.700,4.220,0.42130,0.35240,0.41260,4.206,0.33890,0.58380,7.920,2026-03,True,1.0,1.0,2.9
2250060,2026-03-30,2026-03,BOS,HOU,824214,1,8,games,0,4,games,4.5,-0.5,-132,8.5,0.1462,0.1431,49.20,36.18,57.63,0.49840,5.074,0.50590,0.64820,9.380,4.980,4.400,0.51860,0.52210,0.49840,5.074,0.50590,0.64820,9.380,2026-03,True,1.0,1.0,2.9
2250061,2026-03-30,2026-03,SF,SD,823320,3,2,games,3,0,games,4.5,-0.5,-128,8.5,0.1565,0.1603,40.16,44.19,47.62,0.43530,4.662,0.45500,0.59490,8.710,4.270,4.440,0.45570,0.46550,0.43530,4.662,0.45500,0.59490,8.710,2026-03,True,1.0,1.0,2.9
