gameId,month,book_line,p_stored_plus05,p_correct_for_book_event,y_book_event
2250346,2026-04,0.5,0.5487,0.5487,0.0
2250347,2026-04,-0.5,0.6521,0.4695912419757797,1.0
2250348,2026-04,-0.5,0.5623,0.4316902811447224,0.0
2250349,2026-04,-0.5,0.7595,0.610062092107703,0.0
2250358,2026-04,-3.5,0.6223,,0.0
2250359,2026-04,0.5,0.5354,0.5354,0.0
2250360,2026-04,-2.5,0.6483,,1.0
2250361,2026-04,1.5,0.4859,,1.0
2250362,2026-04,0.5,0.5561,0.5561,0.0
2250363,2026-04,-1.5,0.5276,,0.0
2250364,2026-04,0.5,0.5808,0.5808,0.0
2250365,2026-04,0.5,0.6131,0.6131,1.0
2250366,2026-04,-0.5,0.5935,0.4053136947068886,1.0
2250367,2026-04,0.5,0.5787,0.5787,1.0
2250368,2026-04,-0.5,0.625,0.46530841739224815,1.0
2250369,2026-04,-0.5,0.6322,0.4575999443258763,0.0
2250370,2026-04,0.5,0.5601,0.5601,0.0
2250371,2026-04,-0.5,0.6399,0.4678812147639769,1.0
2250386,2026-04,0.5,0.6275,0.6275,1.0
2250387,2026-04,0.5,0.5116,0.5116,0.0
2250388,2026-04,0.5,0.4955,0.4955,1.0
2250389,2026-04,0.5,0.615,0.615,0.0
2250390,2026-04,0.5,0.4483,0.4483,1.0
2250391,2026-04,0.5,0.5363,0.5363,0.0
2250392,2026-04,0.5,0.6244,0.6244,1.0
2250393,2026-04,-0.5,0.583,0.42178500381604433,0.0
2250394,2026-04,0.5,0.5385,0.5385,0.0
2250395,2026-04,-0.5,0.6048,0.4112617052892207,0.0
2250396,2026-04,0.5,0.6109,0.6109,1.0
2250397,2026-04,0.5,0.5492,0.5492,1.0
2250398,2026-04,0.5,0.6067,0.6067,0.0
2250399,2026-04,0.5,0.5589,0.5589,1.0
2250408,2026-04,0.5,0.6385,0.6385,1.0
2250409,2026-04,0.5,0.5747,0.5747,0.0
2250410,2026-04,0.5,0.5881,0.5881,0.0
2250411,2026-04,0.5,0.4793,0.4793,1.0
2250412,2026-04,0.5,0.5385,0.5385,0.0
2250413,2026-04,-0.5,0.5327,0.382243895316738,0.0
2250414,2026-04,1.5,0.4503,,0.0
2250415,2026-04,0.5,0.5576,0.5576,0.0
2250416,2026-04,-0.5,0.547,0.38551695235730177,0.0
2250417,2026-04,-0.5,0.6364,0.43481532467430284,0.0
2250418,2026-04,-0.5,0.6604,0.4607218953619232,1.0
2250419,2026-04,-0.5,0.6093,0.471014261263069,0.0
2250420,2026-04,-0.5,0.6356,0.4626133273881038,0.0
2250421,2026-04,1.5,0.5041,,1.0
2250436,2026-04,0.5,0.5565,0.5565,0.0
2250437,2026-04,0.5,0.6656,0.6656,0.0
2250438,2026-04,1.5,0.503,,1.0
2250439,2026-04,0.5,0.572,0.572,0.0
2250440,2026-04,0.5,0.5907,0.5907,1.0
2250441,2026-04,0.5,0.4432,0.4432,1.0
2250442,2026-04,3.5,0.4919,,1.0
2250443,2026-04,-0.5,0.6033,0.43401630213209064,0.0
2250444,2026-05,-0.5,0.609,0.44331509573383754,0.0
2250445,2026-05,0.5,0.5085,0.5085,0.0
2250446,2026-05,-2.5,0.6149,,1.0
2250447,2026-05,4.5,0.6034,,1.0
2250448,2026-05,-0.5,0.5222,0.3648479182741827,0.0
2250449,2026-05,1.5,0.5963,,0.0
2250450,2026-05,-0.5,0.666,0.5000405377172561,1.0
2250451,2026-05,0.5,0.6587,0.6587,1.0
2250452,2026-05,-0.5,0.6333,0.47382026628899077,0.0
2250453,2026-05,-0.5,0.5859,0.4573498224462678,0.0
2250454,2026-05,0.5,0.6547,0.6547,0.0
2250455,2026-05,0.5,0.5523,0.5523,1.0
2250456,2026-05,0.5,0.6457,0.6457,1.0
2250457,2026-05,0.5,0.5678,0.5678,1.0
2250472,2026-05,0.5,0.5447,0.5447,0.0
2250473,2026-05,0.5,0.4555,0.4555,0.0
2250474,2026-05,0.5,0.5797,0.5797,1.0
2250475,2026-05,1.5,0.4985,,1.0
2250476,2026-05,-0.5,0.6227,0.46494137460133445,0.0
2250477,2026-05,0.5,0.4992,0.4992,1.0
2250478,2026-05,-0.5,0.6468,0.4903669463379805,1.0
2250479,2026-05,-0.5,0.6814,0.5130429180626057,1.0
2250480,2026-05,-0.5,0.5032,0.3731414752596403,1.0
2250481,2026-05,-0.5,0.646,0.4994780400457203,0.0
2250482,2026-05,-0.5,0.6226,0.4354995971863518,1.0
2250483,2026-05,-0.5,0.6705,0.4983303529898361,1.0
2250484,2026-05,0.5,0.5465,0.5465,0.0
2250485,2026-05,0.5,0.534,0.534,0.0
2250498,2026-05,0.5,0.5286,0.5286,1.0
2250499,2026-05,0.5,0.5741,0.5741,1.0
2250500,2026-05,0.5,0.5784,0.5784,0.0
2250501,2026-05,0.5,0.5287,0.5287,1.0
2250502,2026-05,-0.5,0.6309,0.49407731557788026,1.0
2250503,2026-05,-0.5,0.6113,0.44635410748509796,0.0
2250504,2026-05,0.5,0.5074,0.5074,1.0
2250505,2026-05,-0.5,0.6014,0.42386891549205674,0.0
2250506,2026-07,0.5,0.5926,0.5926,0.0
2250507,2026-05,-0.5,0.6502,0.4740401237808134,0.0
2250508,2026-05,-0.5,0.558,0.4283424496441766,1.0
2250509,2026-05,0.5,0.6843,0.6843,0.0
2250510,2026-05,0.5,0.6283,0.6283,1.0
2250511,2026-05,0.5,0.5603,0.5603,1.0
2250534,2026-05,0.5,0.5069,0.5069,1.0
2250535,2026-05,0.5,0.5946,0.5946,1.0
2250536,2026-05,0.5,0.5481,0.5481,1.0
2250537,2026-05,0.5,0.5875,0.5875,0.0
2250538,2026-05,0.5,0.5913,0.5913,0.0
2250539,2026-05,-0.5,0.627,0.44853682344297874,1.0
2250540,2026-05,0.5,0.5963,0.5963,0.0
2250541,2026-05,0.5,0.5918,0.5918,1.0
2250542,2026-05,-0.5,0.6064,0.4219067537774116,1.0
2250543,2026-05,-0.5,0.6269,0.43667422185064625,0.0
2250544,2026-05,-0.5,0.5794,0.411249042301827,1.0
2250545,2026-05,0.5,0.63,0.63,1.0
2250546,2026-05,-0.5,0.65,0.4906897685832703,0.0
2250547,2026-05,0.5,0.5158,0.5158,0.0
2250548,2026-05,0.5,0.6019,0.6019,0.0
2250549,2026-05,0.5,0.5897,0.5897,1.0
2250550,2026-05,0.5,0.5863,0.5863,0.0
2250551,2026-07,0.5,0.5348,0.5348,0.0
2250552,2026-05,0.5,0.5105,0.5105,1.0
2250553,2026-05,3.5,0.5978,,0.0
2250554,2026-05,-0.5,0.6483,0.4764277912662018,0.0
2250555,2026-05,-0.5,0.6043,0.43274184405631133,0.0
2250556,2026-05,0.5,0.5566,0.5566,0.0
2250557,2026-05,1.5,0.5786,,0.0
2250558,2026-05,-0.5,0.6169,0.43155985974908445,1.0
2250559,2026-05,0.5,0.5543,0.5543,0.0
2250560,2026-05,-0.5,0.5794,0.3907980269672433,1.0
2250561,2026-05,0.5,0.516,0.516,1.0
2250562,2026-05,0.5,0.5531,0.5531,1.0
2250563,2026-05,-0.5,0.5524,0.4007136292007598,0.0
2250564,2026-05,0.5,0.5445,0.5445,1.0
2250565,2026-05,1.5,0.574,,0.0
2250566,2026-05,-0.5,0.5918,0.42476878795660367,1.0
2250567,2026-05,0.5,0.6643,0.6643,0.0
2250568,2026-05,0.5,0.5743,0.5743,1.0
2250569,2026-05,-0.5,0.5524,0.37249369719573233,1.0
2250570,2026-05,0.5,0.6027,0.6027,0.0
2250571,2026-05,0.5,0.5714,0.5714,0.0
2250572,2026-05,0.5,0.5827,0.5827,1.0
2250573,2026-05,0.5,0.5496,0.5496,1.0
2250574,2026-05,0.5,0.5634,0.5634,1.0
2250575,2026-05,-2.5,0.6211,,0.0
2250576,2026-05,0.5,0.602,0.602,0.0
2250577,2026-05,-0.5,0.6224,0.4755608260293524,1.0
2250578,2026-05,-3.5,0.5895,,1.0
2250579,2026-05,-0.5,0.575,0.40195566444145225,1.0
2250580,2026-05,0.5,0.6609,0.6609,0.0
2250595,2026-05,0.5,0.5762,0.5762,0.0
2250596,2026-05,-0.5,0.6725,0.5241878625932893,0.0
2250597,2026-05,0.5,0.5589,0.5589,1.0
2250598,2026-05,0.5,0.5742,0.5742,1.0
2250599,2026-05,0.5,0.5059,0.5059,1.0
2250600,2026-05,0.5,0.5564,0.5564,1.0
2250601,2026-05,-0.5,0.5356,0.37467339634902025,1.0
2250602,2026-05,-0.5,0.6582,0.49283662550424084,0.0
2250603,2026-05,-0.5,0.578,0.4010914405664956,0.0
2250604,2026-05,-0.5,0.6673,0.5197741400384372,1.0
2250605,2026-05,0.5,0.5767,0.5767,0.0
